68,27,True
55,20,True
135,54,True
46,15,True
136,55,True
38,12,True
64,26,True
39,13,True
19,9,True
82,35,True
125,50,True
90,38,True
52,18,True
7,5,True
23,10,True
114,45,True
121,49,True
57,22,True
13,7,True
8,6,True
116,46,True
143,56,True
51,17,True
70,29,True
94,39,True
1,2,True
79,33,True
129,52,True
113,44,True
83,36,True
40,14,True
14,8,True
85,37,True
63,25,True
117,47,True
100,42,True
145,57,True
126,51,True
105,43,True
147,58,True
36,11,True
54,19,True
