Airport Name,City,Code,State
Akron-Canton Airport,North Canton,CAK,OH
Albany International Airport,Albany,ALB,NY
Albuquerque International Sunport,Albuquerque,ABQ,NM
Amarillo International Airport,Amarillo,AMA,TX
Anchorage International Airport,Anchorage,ANC,AK
Atlanta International Airport,Atlanta,ATL,GA
Atlantic City International Airport,Egg Harbor Twp,ACY,NJ
Austin Straubel International Airport,Green Bay,GRB,WI
Austin-Bergstrom International Airport,Austin,AUS,TX
Baltimore/Washington International Airport,BWI Airport,BWI,MD
Baton Rouge International Airport,Baton Rouge,BTR,LA
Billings Logan International Airport,Billings,BIL,MT
Birmingham International Airport,Birmingham,BHM,AL
Bishop International Airport,Flint,FNT,MI
Blue Grass Airport,Lexington,LEX,KY
Boise Airport,Boise,BOI,ID
Boston Logan International Airport,Boston,BOS,MA
Bradley International Airport,Windsor Locks,BDL,CT
Buffalo Niagara International Airport,Buffalo,BUF,NY
Burbank Bob Hope Airport,Burbank,BUR,CA
Burlington International Airport,South Burlington,BTV,VT
Bush Intercontinental Airport,Houston,IAH,TX
Cedar Rapids Eastern Iowa Airport,Cedar Rapids,CID,IA
Charleston International Airport,Charleston,CHS,SC
Charlotte/Douglas International Airport,Charlotte,CLT,NC
Chicago Midway Airport,Chicago,MDW,IL
Chicago O�Hare International Airport,Chicago,ORD,IL
Cincinnati/Northern Kentucky International Airport,Cincinnati,CVG,OH
Cleveland Hopkins International Airport,Cleveland,CLE,OH
Colorado Springs Airport,Colorado Springs,COS,CO
Columbia Metropolitan Airport,Columbia,CAE,SC
Corpus Christi International Airport,Corpus Christi,CRP,TX
Cyril E King Airport,Charlotte Amalie,STT,VI
Dallas Love Field,Dallas,DAL,TX
Dallas/Fort Worth International Airport,Dallas,DFW,TX
Dane County Regional Airport,Madison,MSN,WI
Dayton International Airport,Dayton,DAY,OH
Denver International Airport,Denver,DEN,CO
Des Moines International Airport,Des Moines,DSM,IA
Detroit Metro Airport,Detroit,DTW,MI
El Paso International Airport,El Paso,ELP,TX
Eppley Airfield,Omaha,OMA,NE
Fairbanks International Airport,Fairbanks,FAI,AK
Fort Lauderdale Hollywood International Airport,Fort Lauderdale,FLL,FL
Fort Walton Beach Airport,Valparaiso,VPS,FL
Fresno Air Terminal,Fresno,FAT,CA
General Mitchell International Airport,Milwaukee,MKE,WI
Gerald R. Ford International Airport,Grand Rapids,GRR,MI
Grand Canyon National Park Airport,Grand Canyon,GCN,AZ
Greater Rochester International Airport,Rochester,ROC,NY
Greenville/Spartanburg Airport,Greenville,GSP,SC
Guam International Airport,Agana,GUM,GU
Gulfport-Biloxi International Airport,Gulfport,GPT,MS
Harrisburg International Airport,Harrisburg,MDT,PA
Hilo International Airport,Hilo,ITO,HI
Hobby Airport,Houston,HOU,TX
Honolulu International Airport,Honolulu,HNL,HI
Huntsville International Airport,Huntsville,HSV,AL
Indianapolis International Airport,Indianapolis,IND,IN
Jackson-Evers International Airport,Jackson,JAN,MS
Jacksonville International Airport,Jacksonville,JAX,FL
John F. Kennedy International Airport,New York,JFK,NY
John Wayne Airport,Orange County,SNA,CA
Juneau International Airport,Juneau,JNU,AK
Kahului Airport,Kahului,OGG,HI
Kansas City International Airport,Kansas City,MCI,MO
Kona International Airport,Keahole,KOA,HI
La Guardia Airport,New York,LGA,NY
Lambert-St. Louis International Airport,Saint Louis,STL,MO
Lehigh Valley International Airport,Allentown,ABE,PA
Lihue Airport,Lihue,LIH,HI
Little Rock National Airport,Little Rock,LIT,AR
Long Beach Airport,Long Beach,LGB,CA
Los Angeles International Airport,Los Angeles,LAX,CA
Louisville International Airport,Louisville,SDF,KY
Lubbock International Airport,Lubbock,LBB,TX
Luis Munoz Marin International Airport,San Juan,SJU,PR
Macarthur Airport,Islip,ISP,NY
Manchester Airport,Manchester,MHT,NH
Mccarran International Airport,Las Vegas,LAS,NV
Mcghee Tyson Airport,Knoxville,TYS,TN
Memphis Airport,Memphis,MEM,TN
Miami International Airport,Miami,MIA,FL
Midland International Airport,Midland,MAF,TX
Minneapolis/St. Paul International Airport,Minneapolis,MSP,MN
Myrtle Beach Airport,Myrtle Beach,MYR,SC
Nashville International Airport,Nashville,BNA,TN
New Orleans International Airport,New Orleans,MSY,LA
Newark Liberty International Airport,Newark,EWR,NJ
Newport News/Williamsburg International Airport,Newport News,PHF,VA
Norfolk International Airport,Norfolk,ORF,VA
Northwest Arkansas Regional Airport,Fayetteville,XNA,AR
Oakland International Airport,Oakland,OAK,CA
Ontario International Airport,Ontario,ONT,CA
Orlando International Airport,Orlando,MCO,FL
Orlando Sanford International Airport,Sanford,SFB,FL
Palm Beach International Airport,West Palm Beach,PBI,FL
Palm Springs International Airport,Palm Springs,PSP,CA
Pensacola Regional Airport,Pensacola,PNS,FL
Philadelphia International Airport,Philadelphia,PHL,PA
Phoenix Sky Harbor International Airport,Phoenix,PHX,AZ
Piedmont Triad International Airport,Greensboro,GSO,NC
Pittsburgh International Airport,Pittsburgh,PIT,PA
Port Columbus International Airport,Columbus,CMH,OH
Portland International Airport,Portland,PDX,OR
Portland International Jetport,Portland,PWM,ME
Quad City International Airport,Moline,MLI,IL
