Alphabetic code,Country,Currency,Numeric code,Subdivision,Symbol
KHR,Cambodia,Riel,116,100 sen,CR
XAF,Cameroon,CFA Franc BEAC,950,100 centimes,CFAF
CAD,Canada,Canadian Dollar,124,100 cents,Can$
CVE,Cape Verde,Cape Verde Escudo,132,100 centavos,C.V.Esc.
KYD,Cayman Islands,Cayman Islands Dollar,136,100 cents,CI$
XAF,Central African Republic,CFA Franc BEAC,950,100 centimes,CFAF
XAF,Chad,CFA Franc BEAC,950,100 centimes,CFAF
CLP,Chile,Chilean Peso,152,100 centavos,Ch$
CNY,China,Yuan Renminbi,156,10 jiao = 100 fen,Y
AUD,Christmas Island,Australian Dollar,36,100 cents,A$
AUD,Cocos (Keeling) Islands,Australian Dollar,36,100 cents,A$
COP,Colombia,Colombian Peso,170,100 centavos,Col$
KMF,Comoros,Comoro Franc,174,,CF
XAF,Congo,CFA Franc BEAC,950,100 centimes,CFAF
CDF,"Congo, The Democratic Republic Of",Franc Congolais,976,100 centimes,
NZD,Cook Islands,New Zealand Dollar,554,100 cents,NZ$
CRC,Costa Rica,Costa Rican Colon,188,100 centimos,slashed C
XOF,Cote D'ivoire,CFA Franc BCEAO,952,100 centimes,CFAF
HRK,Croatia,Kuna,191,100 lipas,HRK
CUP,Cuba,Cuban Peso,192,100 centavos,Cu$
CYP,Cyprus,Cyprus Pound,196,100 cents,�C
TRL,Cyprus - TRNC,Turkish Lira,792,100 kurus,TL
CZK,Czech Republic,Czech Koruna,203,100 haleru,Kc (with hacek on c)
DKK,Denmark,Danish Krone,208,100 �re,Dkr
DJF,Djibouti,Djibouti Franc,262,100 centimes,DF
XCD,Dominica,East Caribbean Dollar,951,100 cents,EC$
DOP,Dominican Republic,Dominican Peso,214,100 centavos,RD$
USD,East Timor,US Dollar,840,100 cents,$
USD,Ecuador,US Dollar,840,100 cents,$
EGP,Egypt,Egyptian Pound,818,"100 piasters or 1,000 milliemes",�E
SVC,El Salvador,El Salvador Colon,222,100 centavos,�
XAF,Equatorial Guinea,CFA Franc BEAC,950,100 centimos,CFAF
EEK,Estonia,Kroon,233,100 cents,Nfa
ERN,Eritrea,Nakfa,232,100 senti,KR
ETB,Ethiopia,Ethiopian Birr,230,100 cents,Br
EUR,European Union,Euro,978,100 euro-cents,�
DKK,Faeroe Islands,Danish Krone,208,100 �re,Dkr
FKP,Falkland Islands (Malvinas),Pound,238,100 pence,�F
FJD,Fiji,Fiji Dollar,242,100 cents,F$
EUR,Finland,Euro,978,100 euro-cents,�
EUR,France,Euro,978,100 euro-cents,�
EUR,French Guiana,Euro,978,100 euro-cents,�
XPF,French Polynesia,CFP Franc,953,100 centimes,CFPF
EUR,French Southern Territories,Euro,978,100 euro-cents,�
