Facebook-Fans,Museum,RANG,Stadt
353230,MoMA The Museum of Modern Art,1,New York
178838,Metropolitan Museum of Art,2,New York
159006,Acropolis Museum,3,Athen
98307,Mus?e du Louvre,4,Paris
66289,Tate Modern,5,London
62866,Design Museum,6,London
67894,Guggenheim Museum,7,New York
39960,City Museum,8,St Louis
36767,The Getty Museum,9,Los Angeles
35182,Salvador Dali Museum,10,Saint Petersburg
37000,Museo del Prado,11,Madrid
31851,"Victoria & Albert Museum,",12,London
32353,Centre Pompidou,13,Paris
28408,British Museum,14,London
25803,Whitney Museum of American Art,15,New York
25981,Creation Museum,16,Petersburg
23566,Natural History Museum,17,London
23059,National Museum of the American Indian,18,Washington D.C.
21904,American Museum of Natural History,19,New York
21235,New Museum,20,New York
