Director(s),Fans' Rank,Overall Rank,Title,Year
Sidney Lumet,76,154,12 Angry Men,1957
Stanley Kubrick,9,4,2001: A Space Odyssey,1968
Alfred Hitchcock,312,206,The 39 Steps,1935
Fran?ois Truffaut,140,71,The 400 Blows,1959
Federico Fellini,89,80,8 1/2,1963
Spike Jonze,329,971,Adaptation.,2002
Michael Curtiz and William Keighley,278,153,The Adventures of Robin Hood,1938
John Huston,158,120,The African Queen,1951
Werner Herzog,208,188,Aguirre: The Wrath of God,1972
"Jerry Zucker, Jim Abrahams, and David Zucker",163,175,Airplane!,1980
Katsuhiro ?tomo,386,302,Akira,1988
Ron Clements and John Musker,404,750,Aladdin,1992
Ridley Scott,41,38,Alien,1979
James Cameron,47,65,Aliens,1986
Joseph L. Mankiewicz,81,37,All about Eve,1950
Lewis Milestone,231,146,All Quiet on the Western Front,1930
Alan J. Pakula,222,277,All the President's Men,1976
Cameron Crowe,166,571,Almost Famous,2000
Milos Forman,66,141,Amadeus,1984
Federico Fellini,470,365,Amarcord,1973
Jean-Pierre Jeunet,141,182,Am?lie,2001
Sam Mendes,25,111,American Beauty,1999
George Lucas,204,198,American Graffiti,1973
Tony Kaye,129,706,American History X,1998
Alejandro Gonz?lez I??rritu,422,748,Amores perros,2000
Andrei Tarkovsky,286,236,Andrei Rublev,1966
John Landis,215,299,Animal House,1978
Woody Allen,39,25,Annie Hall,1977
Billy Wilder,116,127,The Apartment,1960
Francis Ford Coppola,10,13,Apocalypse Now,1979
Ron Howard,221,485,Apollo 13,1995
Michael Bay,483,733,Armageddon,1998
Sam Raimi,444,1360,Army of Darkness,1992
Frank Capra,347,686,Arsenic and Old Lace,1944
James L. Brooks,227,635,As Good as It Gets,1997
Jean Vigo,376,189,L'Atalante,1934
Jay Roach,301,401,Austin Powers: International Man of Mystery,1997
Michelangelo Antonioni,291,196,L'Avventura,1960
Chris Noonan,350,372,Babe,1995
Robert Zemeckis,60,91,Back to the Future,1985
Robert Zemeckis,366,1067,Back to the Future Part II,1989
Robert Zemeckis,499,1192,Back to the Future Part III,1990
Terrence Malick,280,249,Badlands,1973
Stanley Kubrick,241,355,Barry Lyndon,1975
Joel Coen,321,907,Barton Fink,1991
Tim Burton,161,451,Batman,1989
Christopher Nolan,500,592,Batman Begins,2005
Tim Burton,469,1296,Batman Returns,1992
Sergei M. Eisenstein,187,74,The Battleship Potemkin,1925
Ron Howard,322,621,A Beautiful Mind,2001
Gary Trousdale and Kirk Wise,198,246,Beauty and the Beast,1991
Spike Jonze,132,319,Being John Malkovich,1999
Hal Ashby,282,459,Being There,1979
Luis Bu?uel,396,274,Belle de Jour,1967
William Wyler,110,140,Ben-Hur,1959
William Wyler,194,126,The Best Years of Our Lives,1946
Vittorio De Sica,124,67,The Bicycle Thief,1948
Penny Marshall,416,608,Big,1988
Tim Burton,410,1258,Big Fish,2003
Joel Coen,100,173,The Big Lebowski,1998
Howard Hawks,145,163,The Big Sleep,1946
Alfred Hitchcock,190,262,The Birds,1963
D.W. Griffith,417,161,The Birth of a Nation,1915
Ridley Scott,430,866,Black Hawk Down,2001
Ridley Scott,30,21,Blade Runner,1982
Daniel Myrick and Eduardo S?nchez,434,283,The Blair Witch Project,1999
Mel Brooks,212,224,Blazing Saddles,1974
Joel Coen,326,479,Blood Simple,1984
Michelangelo Antonioni,274,266,Blow-Up,1966
David Lynch,90,59,Blue Velvet,1986
John Landis,237,293,The Blues Brothers,1980
Arthur Penn,87,48,Bonnie and Clyde,1967
Paul Thomas Anderson,170,373,Boogie Nights,1997
Wolfgang Petersen,157,194,Das Boot,1981
Oliver Stone,414,781,Born on the Fourth of July,1989
Michael Moore,401,840,Bowling for Columbine,2002
John Singleton,383,568,Boyz N the Hood,1991
Mel Gibson,45,116,Braveheart,1995
Terry Gilliam,71,77,Brazil,1985
Blake Edwards,284,203,Breakfast at Tiffany's,1961
John Hughes,207,346,The Breakfast Club,1985
Lars von Trier,418,456,Breaking the Waves,1996
Jean-Luc Godard,188,81,Breathless,1960
James Whale,269,121,Bride of Frankenstein,1935
David Lean,65,57,The Bridge on the River Kwai,1957
David Lean,372,148,Brief Encounter,1945
Howard Hawks,173,52,Bringing Up Baby,1938
George Roy Hill,98,114,Butch Cassidy and the Sundance Kid,1969
