Director(s),Fans' Rank,Overall Rank,Title,Year
Francis Ford Coppola,1,1,The Godfather,1972
Quentin Tarantino,2,15,Pulp Fiction,1994
Orson Welles,3,2,Citizen Kane,1941
Francis Ford Coppola,4,14,The Godfather: Part II,1974
George Lucas,5,8,Star Wars,1977
Martin Scorsese,6,26,Goodfellas,1990
Michael Curtiz,7,3,Casablanca,1942
Martin Scorsese,8,19,Taxi Driver,1976
Stanley Kubrick,9,4,2001: A Space Odyssey,1968
Francis Ford Coppola,10,13,Apocalypse Now,1979
Steven Spielberg,11,22,Schindler's List,1993
Stanley Kubrick,12,12,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Frank Darabont,13,46,The Shawshank Redemption,1994
Alfred Hitchcock,14,7,Psycho,1960
Irvin Kershner,15,43,The Empire Strikes Back,1980
Steven Spielberg,16,29,Raiders of the Lost Ark,1981
Jonathan Demme,17,30,The Silence of the Lambs,1991
Milos Forman,18,35,One Flew over the Cuckoo's Nest,1975
Stanley Kubrick,19,36,A Clockwork Orange,1971
Steven Spielberg,20,24,Jaws,1975
Alfred Hitchcock,21,34,Rear Window,1954
Alfred Hitchcock,22,11,Vertigo,1958
Roman Polanski,23,20,Chinatown,1974
Martin Scorsese,24,18,Raging Bull,1980
Sam Mendes,25,111,American Beauty,1999
Joel Coen,26,49,Fargo,1996
Frank Capra,27,16,It's a Wonderful Life,1946
Steven Spielberg,28,50,Saving Private Ryan,1998
Bryan Singer,29,55,The Usual Suspects,1995
Ridley Scott,30,21,Blade Runner,1982
Alfred Hitchcock,31,31,North by Northwest,1959
Quentin Tarantino,32,66,Reservoir Dogs,1992
Victor Fleming,33,5,The Wizard of Oz,1939
Andy and Larry Wachowski,34,42,The Matrix,1999
David Lean,35,9,Lawrence of Arabia,1962
David Fincher,36,83,Fight Club,1999
Robert Zemeckis,37,93,Forrest Gump,1994
Stanley Kubrick,38,87,The Shining,1980
Woody Allen,39,25,Annie Hall,1977
Akira Kurosawa,40,32,The Seven Samurai,1954
Ridley Scott,41,38,Alien,1979
David Fincher,42,112,Seven,1995
Mike Nichols,43,39,The Graduate,1967
Peter Jackson,44,60,The Lord of the Rings: The Fellowship of the Ring,2001
Mel Gibson,45,116,Braveheart,1995
Victor Fleming,46,17,Gone with the Wind,1939
James Cameron,47,65,Aliens,1986
Stanley Donen and Gene Kelly,48,6,Singin' in the Rain,1952
Carol Reed,49,27,The Third Man,1949
Billy Wilder,50,33,Sunset Blvd.,1950
Elia Kazan,51,40,On the Waterfront,1954
Curtis Hanson,52,82,L.A. Confidential,1997
Stanley Kubrick,53,275,Full Metal Jacket,1987
Steven Spielberg,54,23,E.T. the Extra-Terrestrial,1982
Sergio Leone,55,118,"The Good, the Bad and the Ugly",1966
Billy Wilder,56,10,Some Like It Hot,1959
John Huston,57,44,The Maltese Falcon,1941
Richard Marquand,58,178,Return of the Jedi,1983
Christopher Nolan,59,136,Memento,2000
Robert Zemeckis,60,91,Back to the Future,1985
John McTiernan,61,94,Die Hard,1988
Terry Gilliam and Terry Jones,62,133,Monty Python and the Holy Grail,1975
James Cameron,63,98,Terminator 2: Judgment Day,1991
Robert Mulligan,64,62,To Kill a Mockingbird,1962
David Lean,65,57,The Bridge on the River Kwai,1957
Milos Forman,66,141,Amadeus,1984
Oliver Stone,67,122,Platoon,1986
Clint Eastwood,68,73,Unforgiven,1992
Michael Cimino,69,85,The Deer Hunter,1978
William Friedkin,70,76,The Exorcist,1973
Terry Gilliam,71,77,Brazil,1985
Ridley Scott,72,113,Gladiator,2000
James Cameron,73,95,The Terminator,1984
Peter Jackson,74,123,The Lord of the Rings: The Two Towers,2002
Orson Welles,75,54,Touch of Evil,1958
Sidney Lumet,76,154,12 Angry Men,1957
Billy Wilder,77,41,Double Indemnity,1944
Peter Jackson,78,96,The Lord of the Rings: The Return of the King,2003
Paul Thomas Anderson,79,202,Magnolia,1999
John Ford,80,28,The Searchers,1956
Joseph L. Mankiewicz,81,37,All about Eve,1950
James Cameron,82,63,Titanic,1997
Steven Spielberg,83,103,Close Encounters of the Third Kind,1977
M. Night Shyamalan,84,171,The Sixth Sense,1999
Michael Mann,85,150,Heat,1995
Sergio Leone,86,107,Once Upon a Time in the West,1968
Arthur Penn,87,48,Bonnie and Clyde,1967
Brian De Palma,88,239,Scarface,1983
Federico Fellini,89,80,8 1/2,1963
David Lynch,90,59,Blue Velvet,1986
John Lasseter,91,64,Toy Story,1995
John Frankenheimer,92,124,The Manchurian Candidate,1962
Sam Peckinpah,93,51,The Wild Bunch,1969
Steven Spielberg,94,149,Jurassic Park,1993
Oliver Stone,95,423,JFK,1991
Rob Reiner,96,132,The Princess Bride,1987
John G. Avildsen,97,101,Rocky,1976
George Roy Hill,98,114,Butch Cassidy and the Sundance Kid,1969
John Schlesinger,99,142,Midnight Cowboy,1969
Joel Coen,100,173,The Big Lebowski,1998
