Alphabetic code,Country,Currency,Numeric code,Subdivision,Symbol
XAF,Gabon,CFA Franc BEAC,950,100 centimes,CFAF
GMD,Gambia,Dalasi,270,100 butut,D
GEL,Georgia,Lari,981,100 tetri,
EUR,Germany,Euro,978,100 euro-cents,�
GHC,Ghana,Cedi,288,100 psewas,�
GIP,Gibraltar,Gibraltar Pound,292,100 pence,�G
EUR,Greece,Euro,978,100 euro-cents,�
DKK,Greenland,Danish Krone,208,100 �re,Dkr
XCD,Grenada,East Caribbean Dollar,951,100 cents,EC$
EUR,Guadeloupe,Euro,978,100 euro-cents,�
USD,Guam,US Dollar,840,100 cents,$
GTQ,Guatemala,Quetzal,320,100 centavos,Q
GNF,Guinea,Guinea Franc,324,,
XOF,Guinea-Bissau,CFA Franc BCEAO,952,100 centimes,CFAF
GYD,Guyana,Guyana Dollar,328,100 cents,G$
HTG,Haiti,Gourde,332,100 centimes,G
USD,,US Dollar,840,100 cents,$
AUD,Heard and Mcdonald Islands,Australian Dollar,36,100 cents,A$
HNL,Honduras,Lempira,340,100 centavos,L
HKD,Hong Kong,Hong Kong Dollar,344,100 cents,HK$
HUF,Hungary,Forint,348,-none-,Ft
ISK,Iceland,Iceland Krona,352,100 aurar (sg. aur),IKr
INR,India,Indian Rupee,356,100 paise,Rs
IDR,Indonesia,Rupiah,360,100 sen (no longer used),Rp
XDR,International Monetary Fund (Imf),SDR,960,,SDR
IRR,Iran (Islamic Republic Of),Iranian Rial,364,10 rials = 1 toman,Rls
IQD,Iraq,Iraqi Dinar,368,"1,000 fils",ID
EUR,Ireland,Euro,978,100 euro-cents,�
ILS,Israel,New Israeli Sheqel,376,100 new agorot,NIS
EUR,Italy,Euro,978,100 euro-cents,�
JMD,Jamaica,Jamaican Dollar,388,100 cents,J$
JPY,Japan,Yen,392,100 sen (not used),�
GBP,Jersey,Pound Sterling,826,100 pence,�
JOD,Jordan,Jordanian Dinar,400,"1,000 fils",JD
KZT,Kazakhstan,Tenge,398,100 tiyn,
KES,Kenya,Kenyan Shilling,404,100 cents,K Sh
AUD,Kiribati,Australian Dollar,36,100 cents,A$
KPW,"Korea, Democratic People's Republic Of",North Korean Won,408,100 chon,Wn
KRW,"Korea, Republic Of",Won,410,100 chon,W
KWD,Kuwait,Kuwaiti Dinar,414,"1,000 fils",KD
KGS,Kyrgyzstan,Som,417,100 tyyn,
