Director(s),Fans' Rank,Overall Rank,Title,Year
Steven Spielberg,28,50,Saving Private Ryan,1998
Cameron Crowe,498,448,Say Anything?,1989
Brian De Palma,88,239,Scarface,1983
Martin Brest,390,1753,Scent of a Woman,1992
Steven Spielberg,11,22,Schindler's List,1993
Wes Craven,309,324,Scream,1996
John Ford,80,28,The Searchers,1956
Ang Lee,478,405,Sense and Sensibility,1995
David Fincher,42,112,Seven,1995
Akira Kurosawa,40,32,The Seven Samurai,1954
Ingmar Bergman,103,119,The Seventh Seal,1957
Alfred Hitchcock,361,382,Shadow of a Doubt,1943
John Madden,245,244,Shakespeare in Love,1998
George Stevens,313,200,Shane,1953
Frank Darabont,13,46,The Shawshank Redemption,1994
Buster Keaton,373,261,"Sherlock, Jr.",1924
Stanley Kubrick,38,87,The Shining,1980
Robert Altman,424,603,Short Cuts,1993
Andrew Adamson and Vicky Jenson,233,284,Shrek,2001
M. Night Shyamalan,497,1858,Signs,2002
Jonathan Demme,17,30,The Silence of the Lambs,1991
Sam Raimi,490,1494,A Simple Plan,1998
Frank Miller and Robert Rodriguez,488,575,Sin City,2005
Stanley Donen and Gene Kelly,48,6,Singin' in the Rain,1952
M. Night Shyamalan,84,171,The Sixth Sense,1999
Woody Allen,451,553,Sleeper,1973
Tim Burton,493,1516,Sleepy Hollow,1999
Billy Bob Thornton,273,826,Sling Blade,1996
Guy Ritchie,234,1088,Snatch.,2000
David Hand,255,89,Snow White and the Seven Dwarfs,1937
Andrei Tarkovsky,402,377,Solaris,1972
Billy Wilder,56,10,Some Like It Hot,1959
Robert Wise,169,79,The Sound of Music,1965
Trey Parker,342,466,South Park: Bigger Longer & Uncut,1999
Stanley Kubrick,193,211,Spartacus,1960
Jan de Bont,323,370,Speed,1994
Sam Raimi,265,501,Spider-Man,2002
Sam Raimi,394,765,Spider-Man 2,2004
Hayao Miyazaki,260,174,Spirited Away,2001
John Ford,272,106,Stagecoach,1939
Billy Wilder,395,569,Stalag 17,1953
Andrei Tarkovsky,375,509,Stalker,1979
Rob Reiner,165,315,Stand by Me,1986
Nicholas Meyer,336,507,Star Trek: The Wrath of Khan,1982
George Lucas,5,8,Star Wars,1977
George Lucas,398,876,Star Wars: Episode I - The Phantom Menace,1999
George Roy Hill,130,281,The Sting,1973
Federico Fellini,285,243,La Strada,1954
Alfred Hitchcock,167,235,Strangers on a Train,1951
Elia Kazan,139,145,A Streetcar Named Desire,1951
Preston Sturges,393,125,Sullivan's Travels,1941
F.W. Murnau,230,99,Sunrise,1927
Billy Wilder,50,33,Sunset Blvd.,1950
Richard Donner,300,272,Superman,1978
Atom Egoyan,319,512,The Sweet Hereafter,1997
Alexander Mackendrick,438,177,Sweet Smell of Success,1957
Doug Liman,379,860,Swingers,1996
Martin Scorsese,8,19,Taxi Driver,1976
Cecil B. DeMille,377,403,The Ten Commandments,1956
James Cameron,63,98,Terminator 2: Judgment Day,1991
James Cameron,73,95,The Terminator,1984
Tobe Hooper,298,233,The Texas Chain Saw Massacre,1974
Ridley Scott,413,228,Thelma & Louise,1991
Bobby and Peter Farrelly,320,420,There's Something about Mary,1998
W.S. Van Dyke,419,409,The Thin Man,1934
Terrence Malick,211,357,The Thin Red Line,1998
John Carpenter,217,210,The Thing,1982
Carol Reed,49,27,The Third Man,1949
Rob Reiner,119,78,This Is Spinal Tap,1984
Krzysztof Kieslowski,338,278,Three Colors: Blue,1993
Krzysztof Kieslowski,243,232,Three Colors: Red,1994
David O. Russell,382,663,Three Kings,1999
Akira Kurosawa,362,712,Throne of Blood,1957
James Cameron,82,63,Titanic,1997
Robert Mulligan,64,62,To Kill a Mockingbird,1962
Yasujiro Ozu,249,110,Tokyo Story,1953
George P. Cosmatos,369,1573,Tombstone,1993
Sydney Pollack,253,197,Tootsie,1982
Tony Scott,447,411,Top Gun,1986
Mark Sandrich,411,172,Top Hat,1935
Paul Verhoeven,403,846,Total Recall,1990
Orson Welles,75,54,Touch of Evil,1958
John Lasseter,91,64,Toy Story,1995
John Lasseter,218,268,Toy Story 2,1999
Steven Soderbergh,205,713,Traffic,2000
Danny Boyle,113,117,Trainspotting,1996
John Huston,101,92,The Treasure of the Sierra Madre,1948
Tony Scott,228,430,True Romance,1993
Peter Weir,146,291,The Truman Show,1998
Terry Gilliam,112,341,Twelve Monkeys,1995
Kenji Mizoguchi,449,273,Ugetsu,1953
Luis Bu?uel,504,410,Un chien andalou,1929
M. Night Shyamalan,354,1920,Unbreakable,2000
Clint Eastwood,68,73,Unforgiven,1992
Brian De Palma,150,408,The Untouchables,1987
Bryan Singer,29,55,The Usual Suspects,1995
Alfred Hitchcock,22,11,Vertigo,1958
Henri-Georges Clouzot,459,230,The Wages of Fear,1953
Jerome Robbins and Robert Wise,134,88,West Side Story,1961
Lasse Hallstr?m,489,1326,What's Eating Gilbert Grape,1993
Rob Reiner,235,167,When Harry Met Sally?,1989
Robert Zemeckis,259,367,Who Framed Roger Rabbit,1988
Mike Nichols,271,476,Who's Afraid of Virginia Woolf?,1966
Sam Peckinpah,93,51,The Wild Bunch,1969
Ingmar Bergman,213,208,Wild Strawberries,1957
Mel Stuart,288,348,Willy Wonka & the Chocolate Factory,1971
Wim Wenders,264,195,Wings of Desire,1987
Peter Weir,374,510,Witness,1985
Victor Fleming,33,5,The Wizard of Oz,1939
Bryan Singer,465,888,X2,2003
Bryan Singer,406,858,X-Men,2000
Akira Kurosawa,254,342,Yojimbo,1961
Mel Brooks,147,260,Young Frankenstein,1974
