Alphabetic code,Country,Currency,Numeric code,Subdivision,Symbol
LAK,Lao People's Democratic Republic,Kip,418,100 at,KN
LVL,Latvia,Latvian Lats,428,100 santims,Ls
LBP,Lebanon,Lebanese Pound,422,100 piastres,L.L.
LSL,Lesotho,Loti,426,100 lisente,"L, pl., M"
ZAR,Lesotho (other),Rand,710,100 cents,R
LRD,Liberia,Liberian Dollar,430,100 cents,$
LYD,Libyan Arab Jamahiriya,Libyan Dinar,434,"1,000 dirhams",LD
CHF,Liechtenstein,Swiss Franc,756,100 rappen/centimes,SwF
LTL,Lithuania,Lithuanian Litas,440,100 centu,
EUR,Luxembourg,Euro,978,100 euro-cents,�
MOP,Macau,Pataca,446,100 avos,P
MKD,"Macedonia, The Former Yugoslav Republic Of",Denar,807,100 deni,MKD
MGF,Madagascar,Malagasy Franc,450,100 centimes,FMG
MWK,Malawi,Kwacha,454,100 tambala,MK
MYR,Malaysia,Malaysian Ringgit,458,100 sen,RM
MVR,Maldives,Rufiyaa,462,100 lari,Rf
XOF,Mali,CFA Franc BCEAO,952,100 centimes,CFAF
MTL,Malta,Maltese Lira,470,100 cents,Lm
USD,Marshall Islands,US Dollar,840,100 cents,$
EUR,Martinique,Euro,978,100 euro-cents,�
MRO,Mauritania,Ouguiya,478,5 khoums,UM
MUR,Mauritius,Mauritius Rupee,480,100 cents,Mau Rs
MXN,Mexico,Mexican Peso,484,100 centavos,Mex$
USD,Micronesia,US Dollar,840,100 cents,$
MDL,"Moldova, Republic Of",Moldovan Leu,498,,
EUR,Monaco,Euro,978,100 euro-cents,�
MNT,Mongolia,Tugrik,496,100 mongos,Tug
XCD,Montserrat,East Caribbean Dollar,951,100 cents,EC$
MAD,Morocco,Moroccan Dirham,504,100 centimes,DH
MZM,Mozambique,Metical,508,100 centavos,Mt
MMK,Myanmar,Kyat,104,100 pyas,K
NAD,Namibia,Namibia Dollar,516,100 cents,N$
ZAR,Namibia (other),Rand,710,100 cents,R
AUD,Nauru,Australian Dollar,36,100 cents,A$
NPR,Nepal,Nepalese Rupee,524,100 paise,NRs
EUR,Netherlands,Euro,978,100 euro-cents,�
ANG,Netherlands Antilles,Antillian Guilder,532,100 cents,Ant.f. or NAf.
XPF,New Caledonia,CFP Franc,953,100 centimes,CFPF
NZD,New Zealand,New Zealand Dollar,554,100 cents,NZ$
NIO,Nicaragua,Cordoba Oro,558,100 centavos,C$
XOF,Niger,CFA Franc BCEAO,952,100 centimes,CFAF
NGN,Nigeria,Naira,566,100 kobo,double-dashed N
NZD,Niue,New Zealand Dollar,554,100 cents,NZ$
AUD,Norfolk Island,Australian Dollar,36,100 cents,A$
USD,Northern Mariana Islands,US Dollar,840,100 cents,$
NOK,Norway,Norwegian Krone,578,100 �re,NKr
OMR,Oman,Rial Omani,512,"1,000 baizas",RO
