Entfernung,Gipfel,Grad,H�he,Kanton
60.92 km,Gross D�ssi Piz Git,270.1,3256,GR/UR
53.26 km,Piz Urlaun,270.9,3359,GL/GR
50.97 km,Piz Frisal,271.3,3292,GR
54.34 km,Stoc Grond,271.3,3422,GL/GR
54.34 km,Piz Dado,271.6,3432,GL/GR
51.06 km,Bifertenstock Durschin,271.9,3419,GL/GR
54.37 km,Glarner T�di,272.6,3586,GL
54.35 km,Piz Russein T�di,272.6,3614,GL/GR
53.76 km,Sandgipfel,273.5,3390,GL
61.01 km,Gross Sch�rhorn,273.8,3295,UR
50.08 km,Hinter Schiben,273.8,3084,GL
46.42 km,Kistenst�ckli Muot da Rubi,274.0,2746,GL/GR
49.79 km,Vorder Schiben,274.4,2987,GL
57.54 km,Claridenhorn,274.9,3120,GL/UR
59.91 km,Chammliberg,275.0,3214,UR
44.89 km,Piz d'Artgas,275.0,2786,GR
49.76 km,Hinter Selbsanft Selbsanft,275.5,3029,GL
57.98 km,Clariden,275.7,3268,GL/UR
42.23 km,Crap Surtscheins,276.6,2568,GR
56.39 km,Bocktschingel,276.7,3079,GL/UR
37.38 km,Fil da Rueun,276.7,2350,GR
43.85 km,Crap Ner,277.6,2883,GR
45.49 km,Muttenbergen,277.9,2956,GL/GR
44.51 km,Piz Gavirolas,278.3,3025,GR
34.25 km,Crest da Tiarms,278.9,2412,GR
44.94 km,Muttenstock,278.9,3089,GL/GR
11.71 km,Tgom'Aulta,279.4,2085,GR
42.39 km,Piz Fluaz,280.0,2814,GR
40.04 km,Crap Tgietschen Rotstock,280.2,2624,GL/GR
32.37 km,Crap Sogn Gion,280.5,2264,GR
45.30 km,Ruchi,280.9,3107,GL/GR
38.43 km,Crap Ner,281.0,2614,GR
44.89 km,Chli Ruchi,281.4,3036,GL/GR
35.58 km,Crap Masegn,281.6,2516,GR
44.02 km,Hausstock,282.7,3158,GR
10.34 km,Furggab�el,285.0,2174,GR
37.30 km,B�ndner Vorab,285.2,3028,GL/GR
36.63 km,Vorab Pign,285.3,2897,GR
37.78 km,Glarner Vorab,286.0,3018,GL/GR
33.32 km,Crap Ner,287.7,2781,GR
36.84 km,Gletscherhorn,287.8,2805,GL
34.18 km,Laaxer St�ckli Piz Grisch,288.5,2898,GL/GR
3.53 km,Stelli,289.6,2417,GR
33.91 km,Ofen,290.5,2873,GL/GR
28.64 km,Il Fil,291.5,2694,GR
33.59 km,Tschingelhoren,292.0,2849,GL/GR
21.21 km,Mutta Sura,292.1,2198,GR
32.35 km,Atlas,293.0,2927,GR
32.76 km,Piz Segnas,294.7,3099,GL/GR
23.14 km,Tschep Sut,294.9,2666,GR
24.51 km,Tschep Sura,295.4,2838,GR
30.69 km,Piz Dolf Trinserhorn,295.5,3028,GR/SG
2.20 km,Tschingla,295.5,2449,GR
21.05 km,Ringelspitzh�tte (SAC H�tte),296.1,2000,GR
21.21 km,Baldachopf,296.6,2106,GR
23.29 km,Crap Mats,297.2,2947,GR
23.75 km,Morchopf,297.9,2943,GR
27.29 km,Piz da Sterls,298.8,3114,GR/SG
21.95 km,Spitzig Stein,298.8,2289,GR
27.29 km,Tristelhorn,298.8,3114,GR/SG
23.46 km,Hohegg,299.6,2529,GR
25.33 km,Piz Barghis Ringelspitz,300.4,3247,GR/SG
22.68 km,Schafgrat,301.1,2763,GR
3.89 km,G�rgaletsch,301.6,2441,GR
24.16 km,Pan�rah�rner,301.8,3106,GR/SG
22.75 km,Chrummhorn,302.4,2706,GR
17.42 km,Taminser Calanda,303.4,2390,GR
22.78 km,Orglen,305.2,2720,SG
30.72 km,Heub�tzler,306.7,2612,SG
30.12 km,Plattenspitz,307.0,2579,SG
22.32 km,Ofen,307.1,2409,SG
30.18 km,Hangsackgrat,308.5,2634,SG
17.05 km,G�llenchopf,308.6,2556,GR/SG
17.27 km,Felsberger Calanda,310.1,2697,GR/SG
15.67 km,Rossboden,311.4,2040,GR
26.70 km,Egghorn,311.6,2728,SG
26.49 km,Sazmartinshorn,312.7,2827,SG
