City,City population,Country,Mayor,Metro population,World rank
Guayaquil,"2,196,000",Ecuador,Jaime Nebot,"2,686,000",131
QUITO,"1,648,000",Ecuador,Augusto Barrera,"1,842,000",187
CAIRO,"7,764,000",Egypt,Abdul Azim Wazir,"15,546,000",21
Alexandria,"4,110,000",Egypt,Adel Labib,"4,350,000",52
Giza,"2,225,000",Egypt,n/k,"2,600,000",127
Subra al-Haymah,"998,000",Egypt,n/k,,412
SAN SALVADOR,"520,000",El Salvador,Norman Quijano,"1,580,000",n/r
ASMARA,"392,000",Eritrea,n/k,"881,000",n/r
TALLINN,"407,000",Estonia,Edgar Savisaar,,n/r
ADDIS ABABA,"3,385,000",Ethiopia,Kuma Demeksa,"4,568,000",70
HELSINKI,"583,000",Finland,Jussi Pajunen,"1,311,000",577
PARIS,"2,113,000",France,Bertrand Delano�,"11,769,000",133
Marseille,"852,000",France,Jean-Claude Gaudin,"1,605,000",464
Lyon,"472,000",France,G�rard Collomb,"1,665,000",n/r
Toulouse,"438,000",France,Pierre Cohen,"851,000",n/r
Nice,"347,000",France,Christian Estrosi,"943,000",n/r
Nantes,"283,000",France,Jean-Marc Ayrault,"804,000",n/r
Strasbourg,"273,000",France,Roland Rie,"639,000",n/r
Montpellier,"252,000",France,H�l�ne Mandroux-Colas,,n/r
Bordeaux,"250,000",France,Alain Jupp�,"1,010,000",n/r
Lille,"226,000",France,Martine Aubry,"1,143,000",n/r
Rennes,"206,000",France,Daniel Delaveau,,n/r
TBILISI,"1,490,000",Georgia,Giorgi Ugulava,"1,550,000",221
BERLIN,"3,432,000",Germany,Klaus Wowereit,"3,943,000",68
Hamburg,"1,775,000",Germany,Olaf Scholz,"3,260,000",166
Munich,"1,367,000",Germany,Christian Ude,"2,600,000",271
Cologne,"995,000",Germany,J�rgen Roters,"11,297,000",414
Frankfurt,"665,000",Germany,Petra Roth,"2,717,000",557
Stuttgart,"600,000",Germany,Wolfgang Schuster,"2,330,000",570
Dortmund,"584,000",Germany,Ullrich Sierau,,573
Essen,"580,000",Germany,Reinhard Pa�,,579
Bremen,"547,000",Germany,Jens B�hrnsen,"1,009,000",590
Hannover,"520,000",Germany,Stephan Weil,"1,130,000",n/r
Leipzig,"515,000",Germany,Burkhard Jung,"1,417,000",n/r
Dresden,"512,000",Germany,Helma Orosz,"1,030,000",n/r
Nuremberg,"504,000",Germany,Ulrich Maly,"1,008,000",n/r
Duisburg,"494,000",Germany,Adolf Sauerland,,n/r
Wuppertal,"353,000",Germany,Peter Jung,,n/r
Bielefeld,"324,000",Germany,Peter Clausen,"1,420,000",n/r
Mannheim,"311,000",Germany,Peter Kurz,"1,456,000",n/r
Karlsruhe,"291,000",Germany,Heinz Fenrich,,n/r
Wiesbaden,"277,000",Germany,Helmut M�ller,,n/r
M�nster,"274,000",Germany,Markus Lewe,,n/r
Augsburg,"263,000",Germany,Kurt Gribl,,n/r
Gelsenkirchen,"262,000",Germany,Frank Baranowski,,n/r
Aachen,"259,000",Germany,Marcel Philipp,"1,240,000",n/r
Braunschweig,"246,000",Germany,Gert Hoffmann,,n/r
Chemnitz,"243,000",Germany,Barbara Ludwig,"1,082,000",n/r
Krefeld,"236,000",Germany,Gregor Kathstede,,n/r
Halle,"233,000",Germany,Dagmar Szabados,,n/r
Magdeburg,"230,000",Germany,Lutz Tr�mper,,n/r
Freiburg,"220,000",Germany,Dieter Salomon,,n/r
Oberhausen,"216,000",Germany,Klaus Wehling,,n/r
L�beck,"211,000",Germany,Bernd Saxe,,n/r
Erfurt,"203,000",Germany,Andreas Bausewein,,n/r
Rostock,"201,000",Germany,Roland Methling,,n/r
ACCRA,"1,605,000",Ghana,Alfred Vanderpuije,"2,756,000",192
Kumasi,"1,500,000",Ghana,Samuel Sarpong,"2,500,000",216
ATHENS,"757,000",Greece,Giorgos Kaminis,"3,216,000",518
Thessaloniki,"407,000",Greece,Vasilis Papageorgopoulos,"798,000",n/r
GUATEMALA CITY,"1,090,000",Guatemala,Alvaro Arz�,"2,564,000",372
CONAKRY,"1,931,000",Guinea,Mamadou Wasco Camara,,145
PORT-AU-PRINCE,"1,083,000",Haiti,Jean Yves Jason,"1,728,000",376
Tegucigalpa,"1,200,000",Honduras,Ricardo Alvarez,"1,324,000",326
BUDAPEST,"1,712,000",Hungary,Istv�n Tarl�s,"2,503,000",175
Mumbai (Bombay),"13,900,000",India,Shraddha Jadhav,"21,200,000",3
DELHI,"12,100,000",India,Kanwar Sain,"16,713,000",5
Bangalore,"5,840,000",India,SK Nataraj,"6,562,000",33
Surat,"5,390,000",India,Rajendra Desai,"6,347,000",34
Kolkata,"5,100,000",India,Bikash Ranjan Bhattacharya,"15,420,000",36
Chennai,"4,600,000",India,M Subramaniam,"7,330,000",44
Ahmadabad,"4,525,000",India,Kanaji Thakor,"6,168,000",45
Hyderabad,"3,637,000",India,Banda Karthika Reddy,"6,290,000",60
Pune,"3,337,000",India,Mohansingh Rajpal,"4,470,000",71
Kanpur,"3,100,000",India,Ravindra Patani,"4,865,000",75
Jaipur,"3,050,000",India,Jyoti Khandelwal,"5,690,000",78
