Director(s),Fans' Rank,Overall Rank,Title,Year
Jean Renoir,201,90,The Grand Illusion,1937
Michel Gondry,202,176,Eternal Sunshine of the Spotless Mind,2004
Giuseppe Tornatore,203,192,Cinema Paradiso,1988
George Lucas,204,198,American Graffiti,1973
Steven Soderbergh,205,713,Traffic,2000
Howard Hawks,206,72,His Girl Friday,1940
John Hughes,207,346,The Breakfast Club,1985
Werner Herzog,208,188,Aguirre: The Wrath of God,1972
Peter Weir,209,384,Dead Poets Society,1989
Roman Polanski,210,193,Rosemary's Baby,1968
Terrence Malick,211,357,The Thin Red Line,1998
Mel Brooks,212,224,Blazing Saddles,1974
Ingmar Bergman,213,208,Wild Strawberries,1957
John Boorman,214,326,Deliverance,1972
John Landis,215,299,Animal House,1978
Charles Chaplin,216,97,The Gold Rush,1925
John Carpenter,217,210,The Thing,1982
John Lasseter,218,268,Toy Story 2,1999
F.W. Murnau,219,105,Nosferatu,1922
Roger Allers and Rob Minkoff,220,270,The Lion King,1994
Ron Howard,221,485,Apollo 13,1995
Alan J. Pakula,222,277,All the President's Men,1976
Robert Altman,223,128,M*A*S*H,1970
Quentin Tarantino,224,701,Kill Bill: Vol. 2,2004
Joel Coen,225,460,Miller's Crossing,1990
Stanley Kubrick,226,853,Eyes Wide Shut,1999
James L. Brooks,227,635,As Good as It Gets,1997
Tony Scott,228,430,True Romance,1993
George A. Romero,229,139,Night of the Living Dead,1968
F.W. Murnau,230,99,Sunrise,1927
Lewis Milestone,231,146,All Quiet on the Western Front,1930
Joel Coen,232,776,"O Brother, Where Art Thou?",2000
Andrew Adamson and Vicky Jenson,233,284,Shrek,2001
Guy Ritchie,234,1088,Snatch.,2000
Rob Reiner,235,167,When Harry Met Sally?,1989
Robert Rossen,236,222,The Hustler,1961
John Landis,237,293,The Blues Brothers,1980
Wes Anderson,238,286,Rushmore,1998
Bob Clark,239,642,A Christmas Story,1983
Guy Hamilton,240,186,Goldfinger,1964
Stanley Kubrick,241,355,Barry Lyndon,1975
Fred Zinnemann,242,220,From Here to Eternity,1953
Krzysztof Kieslowski,243,232,Three Colors: Red,1994
George A. Romero,244,216,Dawn of the Dead,1978
John Madden,245,244,Shakespeare in Love,1998
Peter Bogdanovich,246,325,The Last Picture Show,1971
Robert Altman,247,86,Nashville,1975
David Lean,248,191,Doctor Zhivago,1965
Yasujiro Ozu,249,110,Tokyo Story,1953
Don Siegel,250,255,Dirty Harry,1971
Kevin Smith,251,1430,Chasing Amy,1997
Quentin Tarantino,252,927,Jackie Brown,1997
Sydney Pollack,253,197,Tootsie,1982
Akira Kurosawa,254,342,Yojimbo,1961
David Hand,255,89,Snow White and the Seven Dwarfs,1937
Francis Ford Coppola,256,432,The Godfather: Part III,1990
Guy Ritchie,257,740,"Lock, Stock and Two Smoking Barrels",1998
Mel Brooks,258,184,The Producers,1968
Robert Zemeckis,259,367,Who Framed Roger Rabbit,1988
Hayao Miyazaki,260,174,Spirited Away,2001
Oliver Stone,261,759,Natural Born Killers,1994
George Miller,262,306,The Road Warrior,1981
Akira Kurosawa,263,331,Ikiru,1952
Wim Wenders,264,195,Wings of Desire,1987
Sam Raimi,265,501,Spider-Man,2002
Wes Anderson,266,516,The Royal Tenenbaums,2001
Richard Attenborough,267,251,Gandhi,1982
Dennis Hopper,268,160,Easy Rider,1969
James Whale,269,121,Bride of Frankenstein,1935
Richard Lester,270,157,A Hard Day's Night,1964
Mike Nichols,271,476,Who's Afraid of Virginia Woolf?,1966
John Ford,272,106,Stagecoach,1939
Billy Bob Thornton,273,826,Sling Blade,1996
Michelangelo Antonioni,274,266,Blow-Up,1966
Peter Farrelly,275,1311,Dumb & Dumber,1994
James Whale,276,137,Frankenstein,1931
Marcel Carn?,277,129,Children of Paradise,1945
Michael Curtiz and William Keighley,278,153,The Adventures of Robin Hood,1938
George Cukor,279,164,My Fair Lady,1964
Terrence Malick,280,249,Badlands,1973
Sofia Coppola,281,254,Lost in Translation,2003
Hal Ashby,282,459,Being There,1979
Mike Judge,283,774,Office Space,1999
Blake Edwards,284,203,Breakfast at Tiffany's,1961
Federico Fellini,285,243,La Strada,1954
Andrei Tarkovsky,286,236,Andrei Rublev,1966
Roman Polanski,287,470,The Pianist,2002
Mel Stuart,288,348,Willy Wonka & the Chocolate Factory,1971
Robert Altman,289,492,The Player,1992
Anthony Minghella,290,231,The English Patient,1996
Michelangelo Antonioni,291,196,L'Avventura,1960
Rob Reiner,292,1183,A Few Good Men,1992
Woody Allen,293,354,Hannah and Her Sisters,1986
Cameron Crowe,294,304,Jerry Maguire,1996
Steven Spielberg,295,676,Indiana Jones and the Temple of Doom,1984
Michael Mann,296,647,The Insider,1999
Steven Spielberg,297,796,Minority Report,2002
Tobe Hooper,298,233,The Texas Chain Saw Massacre,1974
Randal Kleiser,299,187,Grease,1978
Richard Donner,300,272,Superman,1978
