Applicant,Citing Patent,Filing date,Publication date,Title
"Cardiac Pacemakers, Inc.",US7662101,"Aug 31, 2004","Feb 16, 2010",Therapy control based on cardiopulmonary status
"Cardiac Pacemakers, Inc.",US7664546,"Sep 15, 2004","Feb 16, 2010",Posture detection system and method
Sleep System Laboratory Inc.,US7699785 *,"Feb 23, 2005","Apr 20, 2010",Method for determining sleep stages
"Cardiac Pacemakers, Inc.",US8005540,"Jul 14, 2010","Aug 23, 2011",Monitoring of chronobiological rhythms for disease and drug management using one or more implantable device
"Medtronic, Inc.",US8055348 *,"Mar 26, 2007","Nov 8, 2011",Detecting sleep to evaluate therapy
Greatbatch Ltd.,US8180442,"Dec 14, 2007","May 15, 2012",Deriving patient activity information from sensed body electrical information
"Cardiac Pacemakers, Inc.",US8190256,"Jul 23, 2009","May 29, 2012",Methods and devices for implementing time of day pacing adjustments
"Cardiac Pacemakers, Inc.",US8401636,"Aug 15, 2011","Mar 19, 2013",Monitoring of chronobiological rhythms for disease and drug management using one or more implantable device
"Cardiac Pacemakers, Inc.",US8475388,"Jul 30, 2010","Jul 2, 2013",Detection of disordered breathing
"Cardiac Pacemakers, Inc.",US8515535,"Jan 28, 2010","Aug 20, 2013",Implantable cardiac device with dyspnea measurement
"Pulsaw Informatics, Inc.",US8568330,"Mar 8, 2012","Oct 29, 2013",Composite human physiological stress index based on heart beat and sleep and/or activity history data including actigraphy
"Cardiac Pacemakers, Inc.",US8571656,"Dec 13, 2010","Oct 29, 2013",Ventricular pacing to augment atrial natriuretic hormone production
"Medtronic, Inc.",US8579834,"Jan 6, 2011","Nov 12, 2013",Display of detected patient posture state
"Cardiac Pacemakers, Inc.",US8750992,"Aug 15, 2013","Jun 10, 2014",Implantable cardiac device with dyspnea measurement
"Cardiac Pacemakers, Inc.",US8805493,"Mar 19, 2013","Aug 12, 2014",Monitoring of chronobiological rhythms for disease and drug management using one or more implantable device
"Pulsar Informatics, Inc.",US8812428,"Sep 19, 2011","Aug 19, 2014",Systems and methods for assessment of fatigue-related contextual performance using historical incident data
"Cardiac Pacemakers, Inc.",US8936556,"Sep 22, 2009","Jan 20, 2015",Minute ventilation-based disordered breathing detection
"Cardiac Pacemakers, Inc.",US8954146,"Apr 16, 2014","Feb 10, 2015",Implantable cardiac device with dyspnea measurement
"Inspire Medical Systems, Inc.",US8983572,"Oct 28, 2011","Mar 17, 2015",System and method for patient selection in treating sleep disordered breathing
"Cardiac Pacemakers, Inc.",US8983611,"Sep 25, 2012","Mar 17, 2015",Neural control of central sleep apnea
"Pulsar Informatics, Inc.",US9002671,"Apr 30, 2012","Apr 7, 2015",Systems and methods for latency and measurement uncertainty management in stimulus-response tests
"Pulsar Informatics, Inc.",US9030294,"Sep 20, 2011","May 12, 2015",Systems and methods for collecting biometrically verified actigraphy data
"Medtronic, Inc.",US9050471,"Apr 30, 2009","Jun 9, 2015",Posture state display on medical device user interface
Mike Favet,US20040215239 *,"Apr 8, 2004","Oct 28, 2004",Implantable sudden cardiac death prevention device with reduced programmable feature set
Lovett Eric G.,US20040215258 *,"Apr 8, 2004","Oct 28, 2004",Subcutaneous cardiac rhythm management
New York University,US20110166470 *,,"Jul 7, 2011",System and Method for Diagnosis and Treatment of a Breathing Pattern of a Patient
Meir Ben David,US20120184825 *,"Jan 16, 2012","Jul 19, 2012","Method for detecting and analyzing sleep-related apnea, hypopnea, body movements, and snoring with non-contact device"
Benjamin Horowitz,US20120277614 *,"Aug 19, 2010","Nov 1, 2012",High-Frequency Oscillatory Ventilation Monitoring Method and System
