,Category,Date available,Name,Photo,Primary source,Projects
132,Other,December 2012,Adult Loafer Slippers,,Hook Candy Crochet Patterns,7
3455,Other,May 2008,"Adult Mary Jane ""Skimmers""",,Hook Candy Crochet Patterns,336
86,Mittens/Gloves,December 2008,Adult Ribbed Mitts,,Hook Candy Crochet Patterns,5
1045,Other,April 2008,Awesome Slippers,,Hook Candy Crochet Patterns,41
766,Socks,June 2008,baby 2 Strap Mary Janes,,Hook Candy Crochet Patterns,77
948,Socks,June 2008,baby Crossover Strap Mary Janes,,Hook Candy Crochet Patterns,62
260,Mittens/Gloves,September 2008,Baby Fingerless Mitts,,Hook Candy Crochet Patterns,31
5636,Socks,March 2008,"Baby Mary Jane ""Skimmers""",,Hook Candy Crochet Patterns,401
680,Socks,April 2008,Baby Moccasin Booties,,Hook Candy Crochet Patterns,59
503,Socks,March 2008,Baby Sandal Booties,,Hook Candy Crochet Patterns,41
732,Home,November 2008,Carseat Shoulder Strap Covers,,Hook Candy Crochet Patterns,22
49,Child,December 2012,Children's Loafer Slippers,,Hook Candy Crochet Patterns,1
75,Child,November 2014,Children's Mary Jane Skimmers,,Hook Candy Crochet Patterns,2
1490,Other,May 2008,Crossover Strap Mary Janes,,Hook Candy Crochet Patterns,116
39,Baby,October 2009,Cutie Pie Baby Hood,,Hook Candy Crochet Patterns,
111,Home,October 2009,Daisy Stripes Steering Wheel Cover,,Hook Candy Crochet Patterns,3
30,Other,July 2015,Diamonds Bikini,,Hook Candy Crochet Patterns,
151,Baby,March 2009,Doodle Bug Hat,,Hook Candy Crochet Patterns,2
3372,Socks,2008,Double Strap Baby Booties,,Hook Candy Crochet Patterns,454
391,Home,October 2009,Floor Cushion,,Hook Candy Crochet Patterns,5
234,Shrug,March 2012,Hooded Shrug,,Hook Candy Crochet Patterns,4
48,Child,2012,Insulated 2-Tone EarFlap Hat with Brim,,Hook Candy Crochet Patterns,
96,Home,September 2008,Ipod / Gadget Envelope,,Hook Candy Crochet Patterns,5
52,Child,November 2012,Kitty Ears Hat,,Hook Candy Crochet Patterns,1
87,Scarf,November 2010,Knotty Pocket Scarf,,Hook Candy Crochet Patterns,1
