,81 - 48 B.C.,Imperator,Pompey the Great
,45 - 35 B.C.,Imperatorial General,Sextus Pompey
,61 - 44 B.C.,Imperator & Dictator,Julius Caesar
,50 - 42 B.C.,Imperatorial General,Brutus
,50 - 42 B.C.,Imperatorial General,Cassius
,42 - 32 B.C.,Imperatorial General,Ahenobarbus
,61- 30 B.C.,Imperator and General,Marcus Antonius
,46 - 42 B.C.,Imperator,Lepidus
,27 B.C. - 14 A.D.,First Roman Emperor,Augustus (Octavian)
,31 B.C. - 12,Imperial General,Agrippa
,14 - 37 A.D.,Emperor,Tiberius
,23 A.D.,Son of Tiberius,Drusus
,Died 9 B.C.,Brother of Tiberius,Nero Claudius Drusus
,Died 19 A.D.,Nephew and Adopted Son of Tiberius,Germanicus
,37 - 41 A.D.,Emperor,Caligula
,41 - 54 A.D.,Emperor,Claudius
,Died 55 A.D.,Son of Claudius,Britannicus
,54 - 68 A.D.,Emperor,Nero
,68 A.D.,Rebel against Galba,Clodius Macer
,68 - 69 A.D.,Emperor,Galba
,69 A.D.,Emperor,Otho
,69 A.D.,Emperor,Vitellius
,69 - 79 A.D.,Emperor,Vespasian
,79 - 81 A.D.,Emperor,Titus
,81 - 96 A.D.,Emperor,Domitian
,96 - 98 A.D.,Emperor,Nerva
,98 - 117 A.D.,Emperor,Trajan
,117 - 138 A.D.,Emperor,Hadrian
,136 - 138 A.D.,Caesar,Aelius
,138 - 161 A.D.,Emperor,Antoninus Pius
,161 - 180 A.D.,Emperor,Marcus Aurelius
,161 - 169 A.D.,Emperor,Lucius Verus
,180 - 192 A.D.,Emperor,Commodus
,193 A.D.,Emperor,Pertinax
,193 A.D.,Emperor,Didius Julianus
,195 - 197 A.D.,Caesar/Contender For the Throne,Clodius Albinus
,193 - 194 A.D.,Caesar,Pescennius Niger
,193 - 211 A.D.,Emperor,Septimius Severus
,211 - 212 A.D.,Emperor,Geta
,211 - 217 A.D.,Emperor,Caracalla
,217 - 218 A.D.,Emperor,Macrinus
,218 - 222 A.D.,Emperor,Elagabalus
,222 - 235 A.D.,Emperor,Severus Alexander
,235 - 238 A.D.,Emperor,Maximinus I
,238 A.D.,Emperor,Gordianus I - Africanus
,238 A.D.,Emperor,Gordianus II - Africanus
,238 A.D.,Emperors,Balbinus and Pupienus
,238 - 244 A.D.,Emperor,Gordianus III
,244 - 249 A.D.,Emperor,Philip I - The Arab
,247 - 249 A.D.,Emperor,Philip II
,248 A.D.,Usurpers,Pacatian and Jotapian
,249 - 251 A.D.,Emperor,Trajan Decius
,251 A.D.,Emperor,Herennius Etruscus
,251 A.D.,Emperor,Hostilian
,251 - 253 A.D.,Emperor,Trebonianus Gallus
,251 - 253 A.D.,Emperor,Volusianus
,253 A.D.,Emperor,Aemilianus
,253 - 254 A.D.,Usurper in Emesa,Uranius Antoninus
,253 - 260 A.D.,Emperor,Valerian I
,253 - 255 A.D.,Caesar,Valerian II
,253 - 268 A.D.,Emperor,Gallienus
,259 A.D.,Emperor,Saloninus
,260 - 261 A.D.,Usurper in the East,Macrianus
,260 - 261 A.D.,Usurper in the East,Quietus
,259 - 268 A.D.,Rebel Emperor in Gaul,Postumus
,268 A.D.,Rebel Emperor in Gaul,Laelianus
,268 A.D.,Rebel Emperor in Gaul,Marius
,268 - 270 A.D.,Rebel Emperor in Gaul,Victorinus
,270 - 273 A.D.,Rebel Emperor in Gaul,Tetricus I
,270 - 273 A.D.,Rebel Emperor in Gaul,Tetricus II
,268 - 270 A.D.,Emperor,Claudius Gothicus II
,270 A.D.,Emperor,Quintillius
,270 - 275 A.D.,Emperor,Aurelianus
,271 - 272 A.D.,Ruler of Palmyra,Valabathus Dux Romanorum
,275 - 276 A.D.,Emperor,Tacitus
,276 A.D.,Emperor,Florianus
,276 - 282 A.D.,Emperor,Probus
,282 - 283 A.D.,Emperor,Carus
,283 - 285 A.D.,Emperor,Carinus
,283 - 284 A.D.,Emperor,Numerianus
,287 - 293 A.D.,Rebel Emperor in Britain,Carausius
,293 - 296 A.D.,Emperor,Allectus
,284 - 305 A.D.,Emperor,Diocletian
,286 - 305 + 306 - 308 A.D.,Emperor,Maximianus
,305 - 311 A.D.,Emperor,Galerius
,305 - 306 A.D.,Emperor,Constantius I (Chlorus)
,306 - 307 A.D.,Emperor,Severus II
,309 - 313 A.D.,Emperor,Maximinus
,306 - 337 A.D.,Emperor,Constantine I (The Great)
,306 - 312 A.D.,Emperor,Maxentius
,Died - 309 A.D.,Caesar,Romulus
,308 - 324 A.D.,Emperor,Licinius I
,317 - 324 A.D.,Caesar,Licinius II
