"Came up with four kinds of matter: air, earth, fire, water",Empedocles,c.B.C. - c.430 B.C.
printing press,Johann Gutenberg,c.1397-c.1468
mining and metallurgy book,Georg Bauer (Agricola),1494-1555
Anatomist,Andreas Vesalius,1514-1603
electricity and magnetism,William Gilbert,1540/4-1603
,Henri Poincare,1854-1912
,Arrhenius,
Shared 1903 Nobel prize,Marie and Pierre Curie,
,Laplace,
,Legendre,
At 22 years old one of the most renowned astronomers,Edmund Halley,1656-1742
French mathematician and philosopher. Figured out the precession of equinoxes,Jean Le Rond d?Alembert,11/1717-1783
used the microscope to view capillaries and glands,Marcello Malpighi,1628-1694
Bernoulli?s principle,Daniel Bernoulli,1700-1782
Measured Newton?s gravitational constant,Henry Cavendish,1731-1810
elasticity,Charles Augustin de Coulomb,1736-1806
prof. of geometry at an artillery academy when he was 18. Analytic al mechanics,Joseph-Louis Lagrange,1736-1813
steam engine,James Watt,1736-1819
,Claude Louis Berthollet,1748-1822
,Antoine Francois de Fourcroy,1755-1809
English Chemist and mineralogist. Founded the Smithsonian Institution,James Smithson,1765-1829
heat diffusion,Joseph Fourier,1768-1830
light polarization,Jean-Baptiste Biot,1774-1862
Avogadro?s number,Amadeo Avogadro,1776-1856
Brewster?s Law of light,David Brewster,1781-1868
transverse nature of light,Augustin-Jean Fresnel,1788-1827
Ohm?s Law V = IR,Georg Ohm,1789-1854
electromagnetism,Felix Savart,1791-1841
mathematical Lame?s functions,Gabriel Lame,1795-1870
thermodynamics,Sadi Carnot,1796-1832
electromagnetics,Joseph Henry,1797-1878
sound waves,Christian Doppler,1803-1853
sensitive magnetometers,Wilhelm E. Weber,1804-1891
Hamiltonian classical mechanics,William Hamilton,1805-1865
astronomer and magnetician,Johann von Lamont,1805-1879
,Karl Weierstrass,1815-1897
First measured the speed of list,Armand-Hippolyte-Louis Fizeau,1819-1896
accurately measured the speed of light,Jean-Bernard-Leon Foucault,1819-1868
First Law of Thermodynamics: energy is conserved,Hermann von Helmholtz,1821-1894
Second Law of Thermo. entropy never decreases,Rudolf Clausius,1822-1888
anatomy,Joseph Leidy,1823-1891
Three laws of spectral analysis,Gustav Lirchhoff,1824-1887
Hydrogen spectrum,Johann Balmer,1825-1898
chemist,Bayer,
atomic physics,Enrico Fermi,1901-1954
fluid dynamics,Navier,
Lamarckian example: giraffes constantly stretching their necks caused offspring to have longer necks,Lamarck,
"chemist, valence theory",Sir Edward Frankland,1825-1899
son of Edward,Percy Faraday Frankland,1858-1946
,William Suddards Franklin,1863-1930
mathematician and engineer. Also a musician,Emile-Michel-Hyacinthe Lemoine,1840-1912
"anthropologist, author of The Golden Bow",Sir James George Frazier,1854-1941
Nobel prize chemist,Irving Langmuir,1881-1857
,Rumford,
Chemist,Charles Friedel,1932-1899
Chemist,James Mason Crafts,
"mathematician, physicist, astronomer, proved the irrationality of pi, hyperbolic trig functions, theorems on conics, theoretical photometry",Johann Heinrich Lambert,1827-1777
carbon-filament incandescent light,Joseph WIlson Swan,1828-1914
