City,City population,Country,Mayor,Metro population,World rank
KABUL,"3,586,000",Afghanistan,Mohammad Yunus Noandesh,"4,000,000",64
ALGIERS,"1,520,000",Algeria,Tayeb Zitouni,"3,354,000",211
Oran,"683,000",Algeria,Saddek Benkada,"772,000",547
LUANDA,"4,799,000",Angola,Jos� Maria Ferraz dos Santos,"5,500,000",41
BUENOS AIRES,"11,655,000",Argentina,Mauricio Macri,"12,924,000",6
Cordoba,"1,310,000",Argentina,Daniel Giacomino,"1,528,000",288
La Matanza,"1,255,000",Argentina,n/k,,307
Rosario,"1,160,000",Argentina,Miguel Lifschitz,"1,358,000",343
La Plata,"710,000",Argentina,Pablo Bruera,"833,000",535
Tucuman,"528,000",Argentina,Domingo Amaya,"830,000",n/r
Mendoza,"113,000",Argentina,V�ctor Fayad,"849,000",n/r
YEREVAN,"1,108,000",Armenia,Gagik Beglaryan,"1,246,000",365
Sydney,"4,400,000",Australia,Clover Moore,,48
Melbourne,"3,635,000",Australia,Robert Doyle,"3,3635,000",61
Perth,"1,603,000",Australia,Lisa Scaffidi,,193
Brisbane,"1,544,000",Australia,Campbell Newman,"1,544,000",204
Adelaide,"1,290,000",Australia,Stephen Yarwood,,296
VIENNA,"1,681,000",Austria,Michael H�upl,"2,269,000",180
BAKU,"2,040,000",Azerbaijan,Hajibala Abutalybov,"2,072,000",138
DHAKA,"7,940,000",Bangladesh,Sadeque Hossain Khosa,"12,797,000",19
Chittagong,"2,580,000",Bangladesh,Mohammed Manjur Alam,"3,858,000",100
Khulna,"856,000",Bangladesh,Talukder Abdul Khaleque,"1,388,000",463
MINSK,"1,831,000",Belarus,Nikolai Ladutko,,155
BRUSSELS,"958,000",Belgium,Freddy Thielemans,"1,740,000",427
Antwerp,"444,000",Belgium,Patrick Janssens,"948,000",n/r
Gent,"233,000",Belgium,Dani�l Termont,,n/r
Bruges,"117,000",Belgium,Patrick Moenaert,,n/r
Santa Cruz,"1,595,000",Bolivia,Percy Fernandez,"1,863,000",196
LA PAZ,"1,517,000",Bolivia,Luis Antonio Revilla Herrero,"1,551,000",212
Cochabamba,"608,000",Bolivia,n/k,"798,000",568
Sao Paulo,"11,038,000",Brazil,Gilberto Kassab,"19,890,000",9
Rio de Janeiro,"6,093,000",Brazil,Eduardo Paes,"14,387,000",31
Salvador da Bahia,"2,998,000",Brazil,Jo�o Henrique Carneiro,"3,173,000",79
Fortaleza,"2,506,000",Brazil,Luizianne Lins,"3,415,000",108
Belo Horizonte,"2,453,000",Brazil,Marcio Lacerda,"5,397,000",114
BRASILIA,"2,089,000",Brazil,Jos� Roberto Arruda,"2,090,000",134
Curitiba,"1,851,000",Brazil,Carlos Richa,"3,261,000",153
Manaus,"1,739,000",Brazil,Amazonino Mendes,"1,924,000",173
Recife,"1,561,000",Brazil,Jo�o da Costa Bezerra Filho,"3,769,000",200
Belem,"1,409,000",Brazil,Duciomar Costa,"1,913,000",251
Porto Alegre,"1,355,000",Brazil,Jos� Fortunati,"3,646,000",273
Guarulhos,"1,283,000",Brazil,Sebasti�o Moreira,"1,500,000",300
Goiania,"1,282,000",Brazil,�ris Rezende Machado,"2,064,000",301
Campinas,"1,059,000",Brazil,H�lio de Oliveira Santos,"3,200,000",386
Sao Luis,"987,000",Brazil,Jo�o Castelo,"1,228,000",417
Sao Goncalo,"973,000",Brazil,n/k,"1.221,000",419
Maceio,"922,000",Brazil,Jos� C�cero Soares de Almeida,"1,100,000",437
Teresina,"893,000",Brazil,Silvio Mendes,"949,000",453
Duque de Caxias,"864,000",Brazil,Jos� Camilo Zito dos Santos Filho,"1,000,000",462
Nova Iguacu,"846,000",Brazil,Lindberg Farias,"959,000",469
Natal,"790,000",Brazil,n/k,"1,100,000",503
