Capital City,Country Name (Click For Destination Guides),Geographic Info (Click for info)
Phnom Penh,Cambodia,Geography of Cambodia
Yaounde,Cameroon,Geography of Cameroon
Ottawa,Canada,Geography of Canada
Praia,Cape Verde,Geography of Cape Verde
George Town,Cayman Islands,Geography of Cayman Islands
Bangui,Central African Republic,Geography of Central African Republic
N'Djamena,Chad,Geography of Chad
Santiago,Chile,Geography of Chile
Beijing,China,Geography of China
The Settlement,Christmas Island,Geography of Christmas Island
none,Clipperton Island,Geography of Clipperton Island
West Island,Cocos (Keeling) Islands,Geography of Cocos (Keeling) Islands
Bogota,Colombia,Geography of Colombia
Moroni,Comoros,Geography of Comoros
Kinshasa,"Congo, Democratic Republic of the",Geography of Democratic Republic of the Congo
Brazzaville,"Congo, Republic of the",Geography of Republic of the Congo
Avarua,Cook Islands,Geography of Cook Islands
none,Coral Sea Islands,Geography of Coral Sea Islands
San Jose,Costa Rica,Geography of Costa Rica
Yamoussoukro,Cote d'Ivoire,Geography of Cote D'Ivoire (Ivory Coast)
Zagreb,Croatia,Geography of Croatia
Havana,Cuba,Geography of Cuba
Nicosia,Cyprus,Geography of Cyprus
Prague,Czech Republic,Geography of Czech Republic
