Director(s),Overall Rank,Rank,Title,Year
Francis Ford Coppola,1,1,The Godfather,1972
Orson Welles,2,2,Citizen Kane,1941
Michael Curtiz,3,3,Casablanca,1942
David Lean,9,4,Lawrence of Arabia,1962
Stanley Kubrick,12,5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Francis Ford Coppola,13,6,Apocalypse Now,1979
Francis Ford Coppola,14,7,The Godfather: Part II,1974
Quentin Tarantino,15,8,Pulp Fiction,1994
Frank Capra,16,9,It's a Wonderful Life,1946
Victor Fleming,17,10,Gone with the Wind,1939
Martin Scorsese,18,11,Raging Bull,1980
Martin Scorsese,19,12,Taxi Driver,1976
Roman Polanski,20,13,Chinatown,1974
Ridley Scott,21,14,Blade Runner,1982
Steven Spielberg,22,15,Schindler's List,1993
Steven Spielberg,23,16,E.T. the Extra-Terrestrial,1982
Woody Allen,25,17,Annie Hall,1977
Martin Scorsese,26,18,Goodfellas,1990
John Ford,28,19,The Searchers,1956
Alfred Hitchcock,31,20,North by Northwest,1959
Akira Kurosawa,32,21,The Seven Samurai,1954
Billy Wilder,33,22,Sunset Blvd.,1950
Milos Forman,35,23,One Flew over the Cuckoo's Nest,1975
Stanley Kubrick,36,24,A Clockwork Orange,1971
Joseph L. Mankiewicz,37,25,All about Eve,1950
Mike Nichols,39,26,The Graduate,1967
Elia Kazan,40,27,On the Waterfront,1954
Frank Darabont,46,28,The Shawshank Redemption,1994
Arthur Penn,48,29,Bonnie and Clyde,1967
Joel Coen,49,30,Fargo,1996
Steven Spielberg,50,31,Saving Private Ryan,1998
David Lean,57,32,The Bridge on the River Kwai,1957
Fred Zinnemann,58,33,High Noon,1952
Peter Jackson,60,34,The Lord of the Rings: The Fellowship of the Ring,2001
Charles Laughton,61,35,The Night of the Hunter,1955
Robert Mulligan,62,36,To Kill a Mockingbird,1962
James Cameron,63,37,Titanic,1997
Vittorio De Sica,67,38,The Bicycle Thief,1948
Charles Chaplin,68,39,City Lights,1931
Jean Renoir,70,40,The Rules of the Game,1939
Fran?ois Truffaut,71,41,The 400 Blows,1959
Howard Hawks,72,42,His Girl Friday,1940
Clint Eastwood,73,43,Unforgiven,1992
Sergei M. Eisenstein,74,44,The Battleship Potemkin,1925
Terry Gilliam,77,45,Brazil,1985
Robert Wise,79,46,The Sound of Music,1965
Federico Fellini,80,47,8 1/2,1963
Jean-Luc Godard,81,48,Breathless,1960
Curtis Hanson,82,49,L.A. Confidential,1997
David Fincher,83,50,Fight Club,1999
Akira Kurosawa,84,51,Rash?mon,1950
Michael Cimino,85,52,The Deer Hunter,1978
Robert Altman,86,53,Nashville,1975
Stanley Kubrick,87,54,The Shining,1980
Jerome Robbins and Robert Wise,88,55,West Side Story,1961
Jean Renoir,90,56,The Grand Illusion,1937
John Huston,92,57,The Treasure of the Sierra Madre,1948
Robert Zemeckis,93,58,Forrest Gump,1994
Peter Jackson,96,59,The Lord of the Rings: The Return of the King,2003
F.W. Murnau,99,60,Sunrise,1927
Spike Lee,100,61,Do the Right Thing,1989
John G. Avildsen,101,62,Rocky,1976
John Ford,102,63,The Grapes of Wrath,1940
Steven Spielberg,103,64,Close Encounters of the Third Kind,1977
Charles Chaplin,108,65,Modern Times,1936
Yasujiro Ozu,110,66,Tokyo Story,1953
Sam Mendes,111,67,American Beauty,1999
David Fincher,112,68,Seven,1995
Ridley Scott,113,69,Gladiator,2000
Nicholas Ray,115,70,Rebel without a Cause,1955
Mel Gibson,116,71,Braveheart,1995
Danny Boyle,117,72,Trainspotting,1996
Ingmar Bergman,119,73,The Seventh Seal,1957
John Huston,120,74,The African Queen,1951
Oliver Stone,122,75,Platoon,1986
Peter Jackson,123,76,The Lord of the Rings: The Two Towers,2002
John Frankenheimer,124,77,The Manchurian Candidate,1962
Preston Sturges,125,78,Sullivan's Travels,1941
William Wyler,126,79,The Best Years of Our Lives,1946
Billy Wilder,127,80,The Apartment,1960
Robert Altman,128,81,M*A*S*H,1970
Marcel Carn?,129,82,Children of Paradise,1945
Harold Ramis,130,83,Groundhog Day,1993
Federico Fellini,134,84,La Dolce Vita,1960
Woody Allen,135,85,Manhattan,1979
Christopher Nolan,136,86,Memento,2000
James Whale,137,87,Frankenstein,1931
William Wyler,140,88,Ben-Hur,1959
Milos Forman,141,89,Amadeus,1984
John Schlesinger,142,90,Midnight Cowboy,1969
Bob Fosse,144,91,Cabaret,1972
Elia Kazan,145,92,A Streetcar Named Desire,1951
Lewis Milestone,146,93,All Quiet on the Western Front,1930
David Lean,148,94,Brief Encounter,1945
Michael Mann,150,95,Heat,1995
Stanley Kubrick,152,96,Paths of Glory,1957
Sidney Lumet,154,97,12 Angry Men,1957
Francis Ford Coppola,155,98,The Conversation,1974
Frank Capra,156,99,Mr. Smith Goes to Washington,1939
Ingmar Bergman,158,100,Persona,1966
