,Anaximander,c. 611-547 B.C.
,Pythagoras,c. 581-497 B.C.
,Hippocrates of Cos,c. 460-377 B.C.
,Democritus of Abdera,c. 460-370 B.C.
Platonism / Greek philosophy,Plato,c. 427-347 B.C.
Platonism / Greek philosophy,Aristotle,c. 384-322 B.C.
Platonism / Greek philosophy,Euclid,c. 330-260 B.C.
Greek philosophy,Archimedes,c. 287-212 B.C.
,Hipparchus,c. 170-125 B.C.
,Zhang Heng,78-139 A.D.
,Ptolemy,90-168 A.D.
,Galen of Pergamum,130-201 A.D.
Islam,Al-Khwarizmi,800-850
Catholic,Johannes Gutenberg,1400-1468
Catholic,Leonardo da Vinci,1452-1519
Catholic (priest),Nicolas Copernicus,1473-1543
Catholic,Andreas Vesalius,1514-1564
,William Gilbert,1540-1603
Anglican,Francis Bacon,1561-1626
Catholic,Galileo Galileo,1564-1642
Lutheran,Johannes Kepler,1571-1630
Anglican (nominal),William Harvey,1578-1657
,Johann van Helmont,1579-1644
Catholic,Rene Descartes,1596-1650
Jansenist,Blaise Pascal,1623-1662
Anglican,Robert Boyle,1627-1691
Calvinist,Christiann Huygens,1629-1695
Dutch Reformed,Anton van Leeuwenhoek,1632-1723
Anglican,Robert Hooke,1635-1703
"Anglican (rejected Trinitarianism, i.e., Athanasianism; believed in the Arianism of the Primitive Church)",Sir Isaac Newton,1642-1727
,Edmund Halley,1656-1742
Baptist,Thomas Newcomen,1663-1729
,Daniel Fahrenheit,1686-1736
Presbyterian; Deist,Benjamin Franklin,1706-1790
,Joseph Black,1728-1799
,Henry Cavendish,1731-1810
Unitarian,Joseph Priestley,1733-1804
Presbyterian (lapsed),James Watt,1736-1819
,Charles de Coulomb,1736-1806
,Joseph Montgolfier,1740-1810
,Karl Wilhelm Scheele,1742-1786
Catholic,Antoine Lavoisier,1743-1794
Catholic,Count Alessandro Volta,1745-1827
Anglican,Edward Jenner,1749-1823
Quaker,John Dalton,1766-1844
,Andre-Marie Ampere,1755-1836
Catholic,Amedo Avogadro,1776-1856
,Joseph Gay-Lussac,1778-1850
Anglican,Charles Babbage,1791-1871
Sandemanian,Michael Faraday,1791-1867
Anglican (nominal); Unitarian,Charles Darwin,1809-1881
,James Joule,1818-1920
Catholic,Louis Pasteur,1822-1895
Catholic (Augustinian monk),Johann Gregor Mendel,1822-1884
,Jean-Joseph Lenoir,1822-1900
Anglican,Lord Kelvin,1824-1907
Presbyterian; Anglican; Baptist,James Clerk Maxwell,1831-1879
,Alfred Nobel,1833-1896
,Wilhelm Gottlieb Daimler,1834-1900
,Dmitri Mendeleev,1834-1907
,Wilhelm Conrad Roentgen,1845-1923
Congregationalist; agnostic,Thomas Alva Edison,1847-1931
Unitarian/Universalist,Alexander Graham Bell,1847-1922
Catholic,Antoine-Henri Becquerel,1852-1908
Jewish,Paul Ehrlich,1854-1915
,Nikola Tesla,1856-1943
,Sir John Joseph Thomson,1856-1940
Jewish; Atheist; Freudian psychoanalysis (Freudianism),Sigmund Freud,1856-1939
Lutheran,Heinrich Rudolf Hertz,1857-1894
Protestant,Max Planck,1858-1947
,Leo Baekeland,1863-1944
,Thomas Hunt Morgan,1866-1945
Catholic (lapsed),Marie Curie,1867-1934
,Ernest Rutherford,1871-1937
United Brethren,The Wright Brothers,Wilbur: 1867-1912; Orville: 1871-1948
Catholic and Anglican,Guglielmo Marconi,1847-1937
,Frederick Soddy,1877-1956
Jewish,Albert Einstein,1879-1955
Catholic,Alexander Fleming,1881-1955
,Robert Goddard,1882-1945
Jewish Lutheran,Neils Bohr,1885-1962
Catholic,Erwin Schrodinger,1887-1961
,Henry Moseley,1887-1915
,Edwin Hubble,1889-1953
,Sir James Chadwick,1891-1974
,Frederick Banting,1891-1941
,Louis de Broglie,1892-1987
Catholic,Enrico Fermi,1901-1954
Lutheran,Werner Heisenberg,1901-1954
Lutheran,Linus Carl Pauling,1901-1994
Jewish,Robert Oppenheimer,1904-1967
,Sir Frank Whittle,1907-1996
Jewish,Edward Teller,1908-
,William Shockley,1910-1989
Jewish,Alan Turing,1912-1954
Jewish,Jonas Salk,1914-1995
Jewish,Rosalind Franklin,1920-1958
,James Dewey Watson,1928-
atheist,Stephen Hawking,1942-
Unitarian,Tim Berners-Lee,1955-
