Category,Publisher,Rank,Title
Fighting,Nintendo,1,Super Smash Bros. Melee
Strategy/Sim,Nintendo,2,Pikmin 2
RPG,Nintendo,3,Legend of Zelda: Collector's Edition
Action Adventure,Nintendo,4,Legend of Zelda: The Wind Waker
Action Adventure,Konami,5,Metal Gear Solid: Twin Snakes
Kids/Family,Nintendo,6,Mario Party 7
Action Adventure,Nintendo,7,The Legend of Zelda: Twilight Princess
Racing,Nintendo,8,Mario Kart: Double Dash
Action Adventure,Nintendo,9,Wario World
Action Adventure,Nintendo,10,Super Mario Sunshine
