Capital,Date,Government,Languages,Name,Previous Names
Mariehamn,1921,Dependency (Finland),Swedish,Aland Islands,
Tirane,1912,Republic,Albanian,Albania,
Andorra La Vella,1278,Republic,Catalan,Andorra,
Yerevan,190BC 1991,Republic,Armenian Azeri,Armenia,
Vienna,1919,Federal Republic,German,Austria,Austria-Hungary
Baku,1991,Republic,Azeri,Azerbaijan,
Minsk,1991,One Party State,Belarussian,Belarus,Byelorussia
Brussels,1830,Constitutional Monarchy,French Flemish,Belgium,Spanish Netherlands
Sarajevo,1994,Republic,Croatian Serbian,Bosnia-Hercegovina,Yugoslavia Austria-Hungary Ottoman Empire
Sofia,681,Republic,Bulgarian Turkish,Bulgaria,
Zagreb,,Republic,Croatian,Croatia,Yugoslavia Austria-Hungary
Nicosia,1960,Republic,Greek Turkish,Cyprus,
Prague,1993,Republic,Czech,Czech Republic,Czechoslovakia Austia-Hungary
Copenhagan,c950,Constitutional Monarchy,Danish,Denmark,
Tallinn,1918,Republic,Estonian Russian,Estonia,
Torshavn,,Dependency (Denmark),Faeroes,Faeroe Islands,
Helsinki,1917,Republic,Finnish Swedish,Finland,
Paris,486,Republic,French Provencial Breton Basque German,France,Frankish Kingdom West Frankish Kingdom
Tbilisi,c500BC,Republic,Georgian,Georgia,
Berlin,1871,Federal Republic,German Sorbian Danish,Germany,Frankish Kingdom East Frankish Kingdom Holy Roman Empire
Gibraltar,1713,Colony (UK),English Spanish,Gibraltar,
Athens,c1000BC 1830,Republic,Greek Turkish,Greece,
Nuuk,,Dependency (Denmark),,Greenland,
St Peter Port,,Dependency (UK),,Guernsey,
Budapest,c1000,Republic,Hungarian,Hungary,Austria-Hungary
Reykjavik,930,Republic,Icelandic,Iceland,
Dublin,1921,Republic,English Gaelic,Ireland,
Douglas,,Dependency (UK),,Isle of Man,
Rome,1861,Republic,Italian Sardinian,Italy,
,,Colony (Norway),,Jan Mayen,
St Helier,,Dependency (UK),,Jersey,
Pristina,2008,Republic,Albanian Serbian,Kosova,Serbia and Montenegro Yugoslavia
Riga,1920,Republic,Latvian,Latvia,
Vaduz,,Principality,German,Lichtenstein,
Vilnius,1009 1918,Republic,Lithuanian,Lithuania,Prussia
Luxembourg City,1815,Dutchy,German,Luxembourg,
Skopje,,Republic,Macedonian,Macedonia,Yugoslavia Ottoman Empire
Valletta,1964,Republic,Maltese English,Malta,
Chisinau,1991,Republic,Moldavian,Moldova,Moldavia Bessarabia
Monaco,1215,Principality,French,Monaco,
Podgorica,2006,Republic,Serbian,Montenegro,Serbia and Montenegro Yugoslavia Ottoman Empire
Amsterdam,1579,Constitutional Monarchy,Dutch Frisian,Netherlands,
Oslo,c800 1905,Constitutional Monarchy,Norwegian,Norway,
Warsaw,966,Republic,Polish Kashubian,Poland,
Lisbon,1143,Republic,Portuguese,Portugal,
Bucharest,1878,Republic,Romanian Hungarian,Romania,Wallachia Moldavia
Moscow,862,Federal Republic,Russian many others,Russia,Soviet Union
San Marino,301,Republic,Italian,San Marino,
Belgrade,2006,Republic,Serbian,Serbia,Serbia and Montenegro Yugoslavia Ottoman Empire
Bratislava,1993,Republic,Slovak Hungarian,Slovakia,Czechoslovakia Austia-Hungary
Ljubljana,1990,Republic,Slovene,Slovenia,Yugoslavia Austria-Hungary
Madrid,1492,Constitutional Monarchy,Spanish Catalan Basque Galician,Spain,Castille Aragon Navarre
Longyearbyen,,Dependency (Norway),,Svalbard,
Stockholm,c1050,Constitutional Monarchy,Swedish,Sweden,
Bern,1291,Federal Republic,German French Italian Romansh,Switzerland,
Ankara,1923,Republic,Turkish Kurdish Arabic,Turkey,Ottoman Empire Byzantine Empire
Kiev,1991,Republic,Ukrainian Russian,Ukraine,Soviet Union
London,1801,Constitutional Monarchy,English Welsh Gaelic,United Kingdom,England Scotland Wales
Vatican City,c330 1927,Theocracy,Italian,Vatican City,Papal States
