Capital City,Country Name (Click For Destination Guides),Geographic Info (Click for info)
Nassau,"Bahamas, The",Geography of The Bahamas
Manama,Bahrain,Geography of Bahrain
none,Baker Island,Geography of Baker Island
Dhaka,Bangladesh,Geography of Bangladesh
Bridgetown,Barbados,Geography of Barbados
none,Bassas da India,Geography of Bassas Da India
Minsk,Belarus,Geography of Belarus
Brussels,Belgium,Geography of Belgium
Belmopan,Belize,Geography of Belize
Porto-Novo (official capital) Cotonou (seat of government),Benin,Geography of Benin
Hamilton,Bermuda,Geography of Bermuda
Thimphu,Bhutan,Geography of Bhutan
La Paz (seat of government); Sucre (legal capital and seat of judiciary),Bolivia,Geography of Bolivia
Sarajevo,Bosnia and Herzegovina,Geography of Bosnia & Herzegovina
Gaborone,Botswana,Geography of Botswana
none,Bouvet Island,Geography of Bouvet Island
Brasilia,Brazil,Geography of Brazil
Road Town,British Virgin Islands,Geography of British Virgin Islands
none,British Indian Ocean Territory,Geography of British Indian Ocean Territory
Bandar Seri Begawan,Brunei,Geography of Brunei
Sofia,Bulgaria,Geography of Bulgaria
Ouagadougou,Burkina Faso,Geography of Burkina Faso
Rangoon (regime refers to the capital as Yangon),Burma or Myanmar,Geography of Burma or Myanmar
Bujumbura,Burundi,Geography of Burundi
