Applicant,Citing Patent,Filing date,Publication date,Title
Melpar Inc,US3238624 *,"Mar 13, 1962","Mar 8, 1966",Printed circuit layout machine
Robert H Sicking,US3339279 *,"Jul 17, 1964","Sep 5, 1967",Hollow engraving point and holder for engraving coated transparent sheets
Robert H. Sicking,US3384965 *,"Jun 26, 1967","May 28, 1968",Toolholder for engraving points
"Esab North America, Incorporated",US4608891 *,"Jul 31, 1984","Sep 2, 1986",Method and apparatus for cutting a pattern in material
Somar Corporation,US4974324 *,"Jul 28, 1989","Dec 4, 1990",Appliance for cutting out thin film
Ray Fortier,US4991274 *,"Dec 19, 1988","Feb 12, 1991",Tool holder for burnishing cutter
Roland Dg Corporation,US5094134 *,"Jun 8, 1990","Mar 10, 1992",Cutting pen
"Laborsaber, Inc.",US5605085 *,"Apr 19, 1994","Feb 25, 1997",Circle cutting device
Mimix,US6619172 *,"Jul 16, 2001","Sep 16, 2003",Template tracing cutter
Lance Nelson,US6834434,"Sep 23, 2003","Dec 28, 2004",Spring-loaded engraving toolholder
Boren Dane A,US20110191979 *,,"Aug 11, 2011","Methods of Using Cutting Devices for Printing, Devices for Performing the Same, and Systems including such Devices"
