Developer(s),Game,Genre,Platform(s),Year
Rocksteady Studios,Batman: Arkham City[131],"Action-Adventure: Brawler, Stealth","PlayStation 3, Xbox 360",2011
Nintendo EAD Tokyo Development Group,Super Mario Galaxy 2[132],Platformer,Wii,2010
Naughty Dog,Uncharted 2: Among Thieves[133],Action-Adventure: (Third-Person) Shooter,PlayStation 3,2009
Rockstar North,Grand Theft Auto IV,Open World: (Third-Person) Shooter,"Windows, PlayStation 3, Xbox 360",2008
Nintendo,Super Mario Galaxy,Platformer,Wii,2007
Nintendo,The Legend of Zelda: Twilight Princess,Action-Adventure,"Wii, Nintendo GameCube",2006
Capcom,Resident Evil 4,Survival horror: (Third-Person) Shooter,"GameCube, PlayStation 2, Windows, Wii",2005
Valve,Half-Life 2,(First-Person) Shooter,"Windows, Xbox, Xbox 360, PlayStation 3",2004
Nintendo EAD,The Legend of Zelda: The Wind Waker,Action-Adventure: Open World,GameCube,2003
"Retro Studios, Nintendo",Metroid Prime,Action-Adventure: (First-Person) Shooter,"GameCube, Wii",2002
DMA Design,Grand Theft Auto III,Action-Adventure: Open World,"PlayStation 2, Windows, Xbox",2001
"Rare, Nintendo",Perfect Dark,(First-Person) Shooter,Nintendo 64,2000
Namco,Soulcalibur,Fighting: Hack & Slash,DreamCast,1999
Nintendo EAD,The Legend of Zelda: Ocarina of Time,Action-Adventure: Open World,Nintendo 64,1998
"Rare, Nintendo",GoldenEye 007,(First-Person) Shooter,Nintendo 64,1997
Nintendo EAD,Super Mario 64,Platformer: Open World,"Nintendo 64, iQue Player, Nintendo DS, Virtual Console",1996
