Facebook-Fans,Museum,RANG,Stadt
504079,MoMA The Museum of Modern Art,1,New York
269920,Metropolitan Museum of Art,2,New York
215214,Acropolis Museum,3,Athen
132162,Mus?e du Louvre,4,Paris
127573,Guggenheim Museum,5,New York
103298,Tate Modern,6,London
74398,Design Museum,7,London
63286,City Museum,8,St Louis
55825,Creation Museum,9,Petersburg
55790,Museo del Prado,10,Madrid
51793,Centre Pompidou,11,Paris
50317,The Getty Museum,12,Los Angeles
49363,Victoria & Albert Museum,13,London
48266,Whitney Museum of American Art,14,New York
44936,British Museum,15,London
38873,New Museum,16,New York
38778,Salvador Dali Museum,17,Saint Petersburg
27694,National Museum of the American Indian,18,Washington D.C.
27219,Natural History Museum,19,London
26872,American Museum of Natural History,20,New York
