Director(s),Fans' Rank,Overall Rank,Title,Year
Bob Fosse,359,144,Cabaret,1972
Robert Wiene,331,223,The Cabinet of Dr. Caligari,1920
Harold Ramis,340,467,Caddyshack,1980
Brian De Palma,334,1351,Carlito's Way,1993
Brian De Palma,508,269,Carrie,1976
Michael Curtiz,7,3,Casablanca,1942
Martin Scorsese,172,488,Casino,1995
Robert Zemeckis,454,1119,Cast Away,2000
Stanley Donen,484,638,Charade,1963
Hugh Hudson,510,320,Chariots of Fire,1981
Kevin Smith,251,1430,Chasing Amy,1997
Rob Marshall,511,624,Chicago,2002
Marcel Carn?,277,129,Children of Paradise,1945
Roman Polanski,23,20,Chinatown,1974
Bob Clark,239,642,A Christmas Story,1983
Kar Wai Wong,460,579,Chungking Express,1994
Giuseppe Tornatore,203,192,Cinema Paradiso,1988
Orson Welles,3,2,Citizen Kane,1941
Charles Chaplin,106,68,City Lights,1931
Fernando Meirelles,183,227,City of God,2002
Kevin Smith,138,322,Clerks.,1994
Stanley Kubrick,19,36,A Clockwork Orange,1971
Steven Spielberg,83,103,Close Encounters of the Third Kind,1977
Steven Spielberg,441,630,The Color Purple,1985
Robert Zemeckis,353,775,Contact,1997
Jean-Luc Godard,479,422,Contempt,1963
Francis Ford Coppola,154,155,The Conversation,1974
Stuart Rosenberg,148,336,Cool Hand Luke,1967
Ingmar Bergman,462,443,Cries and Whispers,1972
Woody Allen,344,503,Crimes and Misdemeanors,1989
Ang Lee,108,165,"Crouching Tiger, Hidden Dragon",2000
Neil Jordan,371,547,The Crying Game,1992
Lars von Trier,446,780,Dancer in the Dark,2000
Kevin Costner,120,213,Dances with Wolves,1990
Alex Proyas,310,868,Dark City,1998
George A. Romero,244,216,Dawn of the Dead,1978
Robert Wise,304,214,The Day the Earth Stood Still,1951
Terrence Malick,381,297,Days of Heaven,1978
Richard Linklater,397,433,Dazed and Confused,1993
Jim Jarmusch,455,732,Dead Man,1995
Tim Robbins,360,757,Dead Man Walking,1995
Peter Weir,209,384,Dead Poets Society,1989
Krzysztof Kieslowski,452,396,The Decalogue,1989
Michael Cimino,69,85,The Deer Hunter,1978
John Boorman,214,326,Deliverance,1972
Henri-Georges Clouzot,474,294,Diabolique,1955
John McTiernan,61,94,Die Hard,1988
Don Siegel,250,255,Dirty Harry,1971
Luis Bu?uel,345,312,The Discreet Charm of the Bourgeoisie,1972
Spike Lee,107,100,Do the Right Thing,1989
David Lean,248,191,Doctor Zhivago,1965
Sidney Lumet,135,285,Dog Day Afternoon,1975
Kevin Smith,385,2059,Dogma,1999
Federico Fellini,200,134,La Dolce Vita,1960
Mike Newell,425,869,Donnie Brasco,1997
Richard Kelly,195,212,Donnie Darko,2001
Nicolas Roeg,477,162,Don't Look Now,1973
Billy Wilder,77,41,Double Indemnity,1944
Stanley Kubrick,12,12,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Leo McCarey,105,56,Duck Soup,1933
Peter Farrelly,275,1311,Dumb & Dumber,1994
Steven Spielberg,54,23,E.T. the Extra-Terrestrial,1982
Dennis Hopper,268,160,Easy Rider,1969
Tim Burton,144,497,Ed Wood,1994
Tim Burton,196,287,Edward Scissorhands,1990
Alexander Payne,450,545,Election,1999
David Lynch,149,421,The Elephant Man,1980
Irvin Kershner,15,43,The Empire Strikes Back,1980
Anthony Minghella,290,231,The English Patient,1996
Robert Clouse,388,490,Enter the Dragon,1973
David Lynch,325,280,Eraserhead,1976
Michel Gondry,202,176,Eternal Sunshine of the Spotless Mind,2004
Sam Raimi,302,359,Evil Dead II,1987
Sam Raimi,348,404,The Evil Dead,1981
William Friedkin,70,76,The Exorcist,1973
Stanley Kubrick,226,853,Eyes Wide Shut,1999
John Woo,332,602,Face/Off,1997
Ingmar Bergman,330,276,Fanny and Alexander,1982
"James Algar, Samuel Armstrong, Ford Beebe, Norman Ferguson, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, and Paul Satterfield",185,199,Fantasia,1940
Joel Coen,26,49,Fargo,1996
Terry Gilliam,365,1720,Fear and Loathing in Las Vegas,1998
John Hughes,152,295,Ferris Bueller's Day Off,1986
Rob Reiner,292,1183,A Few Good Men,1992
Phil Alden Robinson,186,245,Field of Dreams,1989
Luc Besson,409,549,The Fifth Element,1997
David Fincher,36,83,Fight Club,1999
Andrew Stanton,370,374,Finding Nemo,2003
Charles Crichton,333,334,A Fish Called Wanda,1988
Sergio Leone,423,653,A Fistful of Dollars,1964
Bob Rafelson,457,352,Five Easy Pieces,1970
Sergio Leone,472,1533,For a Few Dollars More,1965
Robert Zemeckis,37,93,Forrest Gump,1994
James Whale,276,137,Frankenstein,1931
Tod Browning,468,289,Freaks,1932
William Friedkin,189,151,The French Connection,1971
Robert Rodriguez,503,1222,From Dusk Till Dawn,1996
Fred Zinnemann,242,220,From Here to Eternity,1953
Andrew Davis,182,496,The Fugitive,1993
Stanley Kubrick,53,275,Full Metal Jacket,1987
