Capital,Date,Government,Languages,Name,Previous Names
Kabul,1747,No effective government,Farsi Pashto Uzbek,Afghanistan,
Manama,1971,Absolute Monarchy,Arabic,Bahrain,
Dhaka,1971,Republic,Bengali Urdu,Bangladesh,East Pakistan
Thimphu,,Theocratic Monarchy,Jonkha,Bhutan,
Diego Garcia,,Colony (UK),,British Indian Ocean Territory,
Bandar Seri Begawan,c650,Absolute Monarchy,Malay,Brunei,
Rangoon,1948,Military Dictatorship,Burmese Karen Shan,Burma (Myanmar),
Phnom Penh,c800,Republic,Khmer French Vietnamese,Cambodia,Kampuchea
Beijing,c1500BC,One Party State,Mandarin Cantonese Fukien Wu Tibetan Uigur,China,Carthay
Dili,2002,Republic,Portuguese,East Timor,
New Delhi,c2500BC 1948,Federal Republic,Hindi Urdu Punjabi Kashmiri Gujarati Bengali Assamese Oriya Marathi Kannada Telugu Tamil Malayalam English many others,India,Moghul Empire
Jakarta,c400,Republic,Indonesian Javanese Sundanese Madurese Minagkabau Achinese Batak Buginese many others,Indonesia,East Indes
Tehran,c6000BC,Theocratic Republic,Farsi Baluchi Kurdish Azeri Armenian,Iran,Persia
Baghdad,1922,No effective government,Arabic Kurdish,Iraq,Mesopotamia Babylonia Assyria
Tel Aviv,c800BC 1948,Republic,Hebrew Arabic English Russian,Israel,Palestine Ottoman Empire Judea
Tokyo,c600BC,Constitutional Monarchy,Japanese Ainu,Japan,
Amman,1922,Monarchy,Arabic,Jordan,Transjordan Ottoman Empire Moab
Astana,1991,One Party State,Kazakh,Kazakhstan,
Kuwait City,1922,Absolute Monarchy,Arabic,Kuwait,Ottoman Empire Arabia
Bishtek,1991,One Party State,Kirgiz Uzbek,Kyrgyzstan,
Vientiane,1353,One Party State,Lao,Laos,
Beirut,1920,One Party State,Arabic French Armenian,Lebanon,Ottoman Empire Phoenicia
Kuala Lumpur,1957,Federal Monarchy,Malay,Malaysia,Malaya
Male,1965,,Maldivian,Maldives,
Ulaan Baatar,1203,Republic,Mongolian Kazakh,Mongolia,
Kathmandu,c1770,Monarchy,Nepalese Bihari Newari Tibetan Murmi,Nepal,Gorkha Kingdom
Pyongyang,c2330BC 1945,One Party State,Korean,North Korea,Korea
Muscat,1970,Absolute Monarchy,Arabic,Oman,Muscat and Oman Arabia
Islamabad,1948,Republic,Urdu Kashmiri Pashto Baluchi Sindhi,Pakistan,West Pakistan
Port Moresby,1949,Republic,Pidgin English many others,Papua New Guinea,
Manila,1521,Republic,Tagalog English Cebuano Hiligaynon Samaran Ilocano many others,Philippines,
Doha,1971,Monarchy,Arabic,Qatar,Arabia
Riyadh,c1750,Theocratic Monarchy,Arabic,Saudi Arabia,Ottoman Empire Hejaz Arabia
Seoul,c2300BC 1945,Republic,Korean,South Korea,Korea
Singapore,1965,Republic,Mandarin Malay Tamil English,Singapore,Malaya
Colombo,1948,Republic,Sinhalese Tamil,Sri Lanka,Ceylon
Damascus,c2500BC 1920,One Party State,Arabic Kurdish Armenian,Syria,United Arab Republic
Taipei,1945,,Mandarin,Taiwan,Formosa
Dushanbe,1991,One Party State,Tadzhik Kyrgyz,Tajikistan,
Bangkok,c1200,Monarchy,Thai Mandarin Malay Khmer,Thailand,Siam
Ashgabat,1991,One Party State,Turkmen,Turkmenistan,
Abu Dhabi,1971,Federal Monarchy,Arabic,United Arab Emirates,Trucial States
Tashkent,c1300 1991,One Party State,Uzbek Tajik,Uzbekistan,
Hanoi,1945 1975,One Party State,Vietnamese,Vietnam,North Vietnam South Vietnam
Sanaa,1918,One Party State,Arabic,Yemen,Aden North Yemen South Yemen
