city,date,state,venue
Philadelphia,2/8/2014,PA,Boot & Saddle
Bristol,4/15/2014,Bst,The Exchange
Brixton,4/16/2014,Lbh,The Windmill
Manchester,4/17/2014,Man,The Star and Garter
Glasgow,4/18/2014,Glg,Audio Glasgow
Newport,4/20/2014,Nwp,Le Pub
Southampton,4/24/2014,Southampton,Joiners
Meerhout,5/2/2014,Vlg,De Vlessenhoeve
Hannover,5/5/2014,NI,Bei Chez Heinz
Karlsruhe,5/15/2014,Baden-wurttemberg,Jubez Karlsruhe
Washington,6/26/2014,DC,Rock and Roll Hotel
New York,6/28/2014,NY,The Studio at Webster Hall
Syracuse,9/6/2014,NY,Westcott Community Center
Toronto,9/6/2014,ON,Downsview Park
Detroit,9/9/2014,MI,Magic Stick
Cleveland,9/10/2014,OH,Beachland Tavern
Columbus,9/11/2014,OH,Park Street Saloon
Newark,10/17/2014,DE,University of Delaware
Washington,10/25/2014,DC,DC9 Nightclub
Charlotte,10/26/2014,NC,Tremont Music Hall
Tampa,10/29/2014,FL,The Orpheum
Nashville,11/4/2014,TN,The High Watt
Chicago,11/5/2014,IL,Township
Newport,11/6/2014,KY,The Southgate House Revival-Revival Room
Pittsburgh,11/7/2014,PA,The Smiling Moose
New York,11/8/2014,NY,Mercury Lounge
Allston,11/9/2014,MA,Great Scott
Philadelphia,11/15/2014,PA,First Unitarian Church
