City,City population,Country,Mayor,Metro population,World rank
MacAllen,"110,000",USA,n/k,"1,058,000",n/r
Maceio,"922,000",Brazil,Jos� C�cero Soares de Almeida,"1,100,000",437
Macheng,"1,880,000",China,n/k,,152
MADRID,"3,213,000",Spain,Alberto Ruiz-Gallard�n,"5,300,000",73
Madurai,"1,130,000",India,Thenmozhi Gopinathan,,355
Magdeburg,"230,000",Germany,Lutz Tr�mper,,n/r
Maiduguri,"1,200,000",Nigeria,n/k,"1,200,000",324
Makasar,"1,113,000",Indonesia,Ilham Arief Sirajuddin,,360
Malang,"742,000",Indonesia,n/k,"921,000",523
Malmo,"244,000",Sweden,Ilmar Reepalu,"1,340,000",n/r
MANAGUA,"1,185,000",Nicaragua,Daisy Torres,"1,342,000",332
Manaus,"1,739,000",Brazil,Amazonino Mendes,"1,924,000",173
Manchester,"464,000",UK,Mavis Smitheman,"2,240,230",n/r
Mandalay,"961,000",Myanmar (Burma),Phone Zaw Han,"1,300,000",425
MANILA METRO,"11,550,000",Philippines,Alfredo S Lim,"13,503,000",7
Mannheim,"311,000",Germany,Peter Kurz,"1,456,000",n/r
MAPUTO,"1,244,000",Mozambique,David Simango,"1,640,000",313
Maracaibo,"1,799,000",Venezuela,Eveling Trejo,"1,868,000",164
Maracay,"479,000",Venezuela,Humberto Prieto,"1,125,000",n/r
Marrakech,"1,071,000",Morocco,n/k,,380
Marseille,"852,000",France,Jean-Claude Gaudin,"1,605,000",464
Mashhad,"2,910,000",Iran,Mohammad Pejman,"3,000,000",81
Masqat-Matrah,"776,000",Oman,n/k,"776,000",511
Matamoros,"370,000",Mexico,n/k,"780,000",n/r
Mataram,"330,000",Indonesia,n/k,"1,081,000",n/r
Mbuji-Mayi,"905,000",Congo D.R.,n/k,"1,054,000",444
Mecca,"1,700,000",Saudi Arabia,Osama Al-Bar,"2,500,000",177
Medan,"1,990,000",Indonesia,Rahudman Harahap,"2,390,000",141
Medellin,"2,223,000",Colombia,Alonso Salazar Jaramillo,"3,312,000",128
Medina,"1,300,000",Saudi Arabia,Abdulaziz Bin Majid,"1,300,000",291
Meerut,"1,277,000",India,n/k,,306
Melbourne,"3,635,000",Australia,Robert Doyle,"3,3635,000",61
