Address,Call Letters,Dial Location,Format,Telephone
"3321 S La Cienega Blvd, Los Angeles 90016",KABC (Talk Radio),AM 790,News/Talk,(310) 840-4901
"12145 Woodruff Ave, Downey 90242",KALI AM (simulcast of KBLA),AM 900,Spanish Variety,(562) 401- 4030
"352 E Ave K-4, Lancaster 93535",KAVL (Fox Sports 610),AM 610,Sports,(661) 942-1121
"747 E Green St, #400 Pasadena 91101",KAHZ (simulcast of KAZN),AM 1600,Chinese Programming,(626) 568-1300
"747 E Green St, #400, Pasadena 91101",KAZN (Asian Radio),AM 1300,Mandarin Programming,(626) 568-1300
"12145 Woodruff Ave, Downey 90242",KBLA (Radio Zion),AM 1580,Spanish Variety,(562) 401- 4030
"3183-D Airway Ave, Costa Mesa 92626",KBRT (K-Brite),AM 740,Christian Talk,(714) 754-4450
"500 S Buena Vista St, MC 6107, Burbank 91505",KDIS (Radio Disney),AM 1110,Children?s Radio,(818) 569-5035
"4880 Santa Rosa RD, #300, Camarillo 93012",KEZY (Nueva Vida),AM 1240,Spanish Christian,(805) 482-4797
"3400 W Olive Ave, #550, Burbank 91505",KFI (More Stimulating Talk Radio),AM 640,Talk,(818) 559-2252
"4525 Wilshire Blvd, Los Angeles 90010",KFOX (Radio Seoul),AM 1650,Korean Programming,(310) 936-0606
"3550 Long Beach Bl, Ste D4, Long Beach 90807",KFRN (Family Radio),AM 1280,Christian Programming,(562) 427-7773
"5670 Wilshire Blvd, #200, Los Angeles 90036",KFWB (News 98),AM 980,News,(323) 525-0980
"1500 Cotner Ave, Los Angeles 90025",KGIL (Retro 1260),AM 540/1260,Adult Standards/Oldies,(310) 478-5540
"1845 W Empire Ave, Burbank 91504",KHJ (La Ranchera),AM 930,Spanish Regional,(323) 729-5300
"3301 Barham Blvd, Los Angeles 90068",KIRN (Radio Iran),AM 670,Iranian Programming,(323) 851-5476
"Angel Stadium 2000 Gene Autry Way, Anaheim 92806",KLAA (AM 830),AM 830,Sports,(714) 940-2500
"3400 W Olive Ste, # 550, Burbank 91505",KLAC (AM 570 Sports),AM 570,Sports,(818) 559-2252
"4880 Santa Rosa RD, #300, Camarillo 93012",KLTX (Nueva Vida),AM 1390,Spanish Christian,(805) 482-4797
"3700 Wilshire Bl, #510, Los Angeles 90010",KMPC (Radio Korea),AM 1540,Korean Programming,(213) 251-1990
"747 East Green St, Pasadena 91101",KMRB,AM 1430,Cantonese Programming,(626) 773-2742
"5670 Wilshire Blvd, #200, Los Angeles 90036",KNX (News Radio),AM 1070,News,(323) 569-1070
"701 N Brand, #550, Glendale 91203",KRLA (News Talk),AM 870,Talk,(818) 956-5552
"4880 Santa Rosa RD, #300, Camarillo 93012",KSDO (Nueva Vida),AM 1130,Spanish Christian,(805) 482-4797
"1563 S State College, Anaheim 92806",KSPA (Talk from the Spa),AM 1510,Talk,(714) 502-9494
"800 W Olympic Blvd, Los Angeles 90015",KSPN (710 ESPN),AM 710,Sports,(213) 284-7100
"655 N Central Ave, #2500, Glendale 91203",KTNQ (1020 Radio AM),AM 1020,Spanish News/Talk,(818) 500-4500
"352 E Ave K-4, Lancaster 93535",KTPI (Magic 1340 AM),AM 1340,Adult Standards,(661) 942-1121
"6803 West Blvd, Inglewood 90302",KTYM,AM 1460,Urban Gospel,(310) 672-3700
"570 East Avenue Q-9, Palmdale 93550",KUTY (La Mera Mera 1470),AM 1470,Mexican Regional,(661) 947-3107
"15781 Brookhurst St, #101, Westminster 92683",KVNR (Little Saigon Radio),AM 1480,Vietnamese Programming,(714) 918-4444
"570 E Ave Q-9, Palmdale 93550",KOSS (News Talk 1380),AM 1380,News/Talk,(661) 947-3107
"3301 Barham Blvd, Ste 201, Los Angeles 90068",KWKW (ESPN Desportes),AM 1330,Spanish Language Sports,(323) 851-5959
"701 N Brand Blvd, Glendale 91203",KXMX (Multi-Cultural Radio),AM 1190,Foreign Language/Talk,(818) 956-5552
"3400 W Olive Ste, # 550, Burbank 91505",KTLK (K-Talk),AM 1150,Talk,(818) 559-2252
"747 E. Green St., #400, Pasadena 91101",KYPA (AM 1230 JBC),AM 1230,Korean News/Talk,(818) 844-8882
