Capital,Date,Government,Languages,Name,Previous Names
The Valley,,Colony (UK),,Anguilla,
Saint John's,,,English,Antigua and Barbuda,
Oranjestad,,Colony (Netherlands),,Aruba,
Nassau,,Constitutional Monarchy,English,Bahamas,
Bridgetown,,Constitutional Monarchy,English,Barbados,
Belmopan,1840,Republic,English Spanish Yucatec,Belize,British Honduras
Hamilton,,Colony (UK),,Bermuda,
Road Town,,Colony (UK),,British Virgin Islands,
Ottawa,,Federal Monarchy,English French many others,Canada,
Georgetown,,Colony (UK),,Cayman Islands,
San Jose,1838,Republic,Spanish,Costa Rica,
Havana,1902,One Party State,Spanish,Cuba,
Roseau,,Constitutional Monarchy,,Dominica,
Santo Domingo,,Republic,Spanish,Dominican Republic,Hispaniola
San Salvador,1838,Republic,Spanish,El Salvador,
Saint George's,,Constitutional Monarchy,English,Grenada,
Basse-Terre,,Colony (France),,Guadeloupe,
Guatemala City,1524,Republic,Spanish Quiche Cakchiqul Mam Kekchi,Guatemala,
Port-au-Prince,,Military Dictatorship,French,Haiti,
Tegucigalpa,1838,Republic,Spanish Lenca English,Honduras,
Kingston,,Constitutional Monarchy,English,Jamaica,
Port-de-France,,Colony (France),,Martinique,
Mexico City,1821,Federal Republic,Spanish Nahuatl Yucatec many others,Mexico,
Plymouth,,Colony (UK),,Montserrat,
,,Colony (USA),,Navassa Island,
Willemstad,,Colony (Netherlands),Dutch Papiamento,Netherlands Antilles,
Mangua,1838,Republic,Spanish,Nicaragua,
Panama City,1903,Republic,Spanish Cuna,Panama,Colombia
,,Colony (Norway),,Peter Island,
San Juan,,Dependency (USA),Spanish English,Puerto Rico,
Basseterre,,Constitutional Monarchy,,Saint Kitts and Nevis,
Castries,,Constitutional Monarchy,,Saint Lucia,
Kingstown,,Constitutional Monarchy,,Saint Vincent and the Grenadines,
Jamestown,,Colony (UK),,St Helena,
St Pierre,,Colony (France),,St Pierre and Miquelon,
,,Constitutional Monarchy,English,Trinidad and Tobago,
Cockburn,,Colony (UK),,Turks and Caicos Islands,
Washington DC,1776,Federal Republic,English Spanish French many others,United States of America,
Charlotte Amalie,,Colony (USA),,Virgin Islands,
