,Common Name,Genus,IUCN,Species
,Mountain Quail,Oreortyx,LC,pictus
,California Quail,Callipepla,LC,californica
,Gambel's Quail,Callipepla,LC,gambelii
,Northern Bobwhite,Colinus,NT,virginianus
,Wild Turkey,Meleagris,LC,gallopavo
,Ruffed Grouse,Bonasa,LC,umbellus
,Common Pheasant,Phasianus,LC,colchicus
,Mallard,Anas,LC,platyrhynchos
,Ruddy Duck,Oxyura,LC,jamaicensis
Hawaii,Wedge-tailed Shearwater,Puffinus,LC,pacificus
Hawaii,Townsend's Shearwater,Puffinus,CR,auricularis
Hawaii,Band-rumped Storm Petrel,Oceanodrom,LC,castro
,Pied-billed Grebe,Podilymbus,LC,podiceps
,Green Heron,Butorides,LC,virescens
,Cattle Egret,Bubulcus,LC,ibis
,Turkey Vulture,Cathartes,LC,aura
,American Kestrel,Falco,LC,sparverius
,Merlin,Falco,LC,columbarius
,Peregrine Falcon,Falco,LC,peregrinus
,Sharp-shinned Hawk,Accipiter,LC,striatus
,Cooper's Hawk,Accipiter,LC,cooperii
,Northern Goshawk,Accipiter,LC,gentilis
,Red-shouldered Hawk,Buteo,LC,lineatus
,Broad-winged Hawk,Buteo,LC,platypterus
,Red-tailed Hawk,Buteo,LC,jamaicensis
,Roughleg,Buteo,LC,lagopus
,Black Rail,Laterallus,NT,jamaicensis
,Virginia Rail,Rallus,LC,limicola
,Sora,Porzana,LC,carolina
,American Coot,Fulica,LC,americana
,Killdeer,Charadrius,LC,vociferus
,American Woodcock,Scolopax,LC,minor
,Wilson's Snipe,Gallinago,LC,delicata
,Ring-billed Gull,Larus,LC,delawarensis
,Laughing Gull,Larus,LC,atricilla
,Cassin's Auklet,Ptychoramphus,LC,aleuticus
,Common Pigeon,Columba,LC,livia
P. R.,Plain Pigeon,Patagioenas,NT,inornata
Hawaii,Spotted Dove,Streptopelia,LC,chinensis
Hawaii,Barred Dove,Geopelia,LC,maugeus
,Mourning Dove,Zenaida,LC,macroura
,White-winged Dove,Zenaida,LC,asiatica
,Inca Dove,Scardafella,LC,inca
,Common Ground Dove,Columbina,LC,passerina
,Ruddy Quail-Dove,Geotrygon,LC,montana
,Yellow-billed Cuckoo,Coccyzus,LC,americanus
,Black-billed Cuckoo,Coccyzus,LC,erythrophthalmus
,Barn Owl,Tyto,LC,alba
,Eastern Screech Owl,Megascops,LC,asio
,Western Screech Owl,Megascops,LC,kennicottii
,Great Horned Owl,Bubo,LC,virginianus
,Barred Owl,Strix,LC,varia
,Northern Pygmy Owl,Glaucidium,LC,califoricum
,Northern Saw-whet Owl,Aegolius,LC,acadicus
,Long-eared Owl,Asio,LC,otus
,Short-Eared Owl,Asio,LC,flammeus
,Lesser Nighthawk,Chordeiles,LC,acutipennis
,Common Nighthawk,Chordeiles,LC,minor
,Common Poorwill,Phalaenoptilus,LC,nuttallii
,Chuck-will's-widow,Caprimulgus,LC,carolinensis
,Whip-poor-will,Caprimulgus,LC,vociferus
,Chimney Swift,Chaetura,LC,pelagica
P. R.,Puerto Rican Emerald,Chlorostilbon,LC,maugaeus
,Buff-bellied Hummingbird,Amazilia,LC,yucatanensis
,Ruby-throated Hummingbird,Archilochus,LC,colubris
,Black-chinned Hummingbird,Archilochus,LC,alexandri
,Anna's Hummingbird,Calypte,LC,anna
,Costa's Hummingbird,Calypte,LC,costae
,Broad-tailed Hummingbird,Selasphorus,LC,platycercus
,Rufous Hummingbird,Selasphorus,LC,rufus
,Allen's Hummingbird,Selasphorus,LC,sasin
,Calliope Hummingbird,Stellula,LC,calliope
,Belted Kingfisher,Megaceryle,LC,alcyon
,Red-headed Woodpecker,Melanerpes,NT,erythrocephalus
,Acorn Woodpecker,Melanerpes,LC,formicivorus
,Gila Woodpecker,Melanerpes,LC,uropygialis
,Red-bellied Woodpecker,Melanerpes,LC,carolinus
,Williamson's Sapsucker,Sphyrapicus,LC,thyroideus
,Yellow-bellied Sapsucker,Sphyrapicus,LC,varius
,Red-naped Sapsucker,Sphyrapicus,LC,nuchalis
,Ladder-backed Woodpecker,Picoides,LC,scalaris
,Downy Woodpecker,Picoides,LC,pubescens
,Hairy Woodpecker,Picoides,LC,villosus
,Black-backed Woodpecker,Picoides,LC,arcticus
,Northern Flicker,Colaptes,LC,auratus
,Pileated Woodpecker,Dryocopus,LC,pileatus
,Eastern Phoebe,Sayornis,LC,phoebe
,Olive-sided Flycatcher,Contopus,NT,cooperii
,Western Wood Pewee,Contopus,LC,sordidulus
,Eastern Wood Pewee,Contopus,LC,virens
,Yellow-bellied Flycatcher,Empidonax,LC,flaviventris
,Acadian Flycatcher,Empidonax,LC,virescens
,Willow Flycatcher,Empidonax,LC,traillii
,Least Flycatcher,Empidonax,LC,minimus
,Hammond's Flycatcher,Empidonax,LC,hammondii
,Great Kiskadee,Pitangus,LC,sulphuratus
,Couch's Kingbird,Tyrannus,LC,couchii
,Western Kingbird,Tyrannus,LC,verticalis
,Scissor-tailed Flycatcher,Tyrannus,LC,forficatus
,Eastern Kingbird,Tyrannus,LC,tyrannus
,Great Crested Flycatcher,Myiarchus,LC,crinitus
,Loggerhead Shrike,Lanius,LC,ludovicianus
,Great Grey Shrike,Lanius,LC,excubitor
,White-eyed Vireo,Vireo,LC,griseus
,Yellow-throated Vireo,Vireo,LC,flavifrons
,Blue-headed Vireo,Vireo,LC,solitarius
,Warbling Vireo,Vireo,LC,gilvus
,Philadelphia Vireo,Vireo,LC,philadelphicus
,Red-eyed Vireo,Vireo,LC,olivaceus
,Blue Jay,Cyanocitta,LC,cristata
,Steller's Jay,Cyanocitta,LC,stelleri
,Western Scrub Jay,Aphelocoma,LC,californica
,American Crow,Corvus,LC,brachyrhynchos
,Bohemian Waxing,Bombycilla,LC,garrulus
,Cedar Waxwing,Bombycilla,LC,cedrorum
,Carolina Chickadee,Poecile,LC,carolinensis
,Black-capped Chickadee,Poecile,LC,atricapillus
,Mountain Chickadee,Poecile,LC,gambeli
,Boreal Chickadee,Poecile,LC,hudsonica
,Chestnut-backed Chickadee,Poecile,LC,rufescens
,Oak Titmouse,Baeolophus,LC,inornatus
,Tufted Titmouse,Baeolophus,LC,bicolor
,Verdin,Auriparus,LC,flaviceps
,Sand Martin,Riparia,LC,riparia
,Tree Swallow,Tachycineta,LC,bicolor
,Violet-green Swallow,Tachycineta,LC,thalassina
,Purple Martin,Progne,LC,subis
,Northern Rough-winged Swallow,Stelgidopteryx,LC,serripennis
,Barn Swallow,Hirundo,LC,rustica
,American Cliff Swallow,Petrochelidon,LC,pyrrhonota
,Cave Swallow,Petrochelidon,LC,fulva
,American Bushtit,Psaltriparus,LC,minimus
Hawaii,Japanese White-eye,Zosterops,LC,japonicus
,Golden-crowned Kinglet,Regulus,LC,satrapa
,Ruby-crowned Kinglet,Regulus,LC,calendula
,Sedge Wren,Cistothorus,LC,platensis
,Long-Billed Marsh Wren,Cistothorus,LC,palustris
,Bewick's Wren,Thryomanes,LC,bewickii
,Carolina Wren,Thryothorus,LC,ludovicianus
,Winter Wren,Troglodytes,LC,troglodytes
,House Wren,Troglodytes,LC,aedon
,Red-breasted Nuthatch,Sitta,LC,canadensis
,White-breasted Nuthatch,Sitta,LC,carolinensis
,Brown Creeper,Certhia,LC,americana
,Gray Catbird,Dumetella,LC,carolinensis
,Northern Mockingbird,Mimus,LC,polyglottos
,Brown Thrasher,Toxostoma,LC,refum
,Long-billed Thrasher,Toxostoma,LC,longirostre
,Common Myna,Acridotheres,LC,tristis
,Common Starling,Sturnus,LC,vulgaris
,Varied Thrush,Ixoreus,LC,naevius
,Eastern Bluebird,Sialia,LC,sialis
,Western Bluebird,Sialia,LC,mexicana
,Mountain Bluebird,Sialia,LC,currucoides
,Townsend's Solitaire,Myadestes,LC,townsendi
,Orange-billed Nightingale-Thrush,Catharus,LC,aurantiirostris
,Veery,Catharus,LC,fuscescens
,Grey-cheeked Thrush,Catharus,LC,minimus
,Swainson's Thrush,Catharus,LC,ustulatus
,Hermit Thrush,Catharus,LC,guttatus
,Wood Thrush,Hylocichla,LC,mustelina
,American Robin,Turdus,LC,migratorius
,House Sparrow,Passer,LC,domesticus
Hawaii,Scaly-breasted Munia,Lonchura,LC,punctulata
Hawaii,Black-headed Munia,Lonchura,LC,malacca
,Buff-bellied Pipit,Anthus,LC,rubescens
,Pine Siskin,Carduelis,LC,pinus
,American Goldfinch,Carduelis,LC,tristis
,Lesser Goldfinch,Carduelis,LC,psaltria
,Common Redpoll,Carduelis,LC,flammea
,Purple Finch,Carpodacus,LC,purpureus
,Cassin's Finch,Carpodacus,NT,cassinii
,House Finch,Carpodacus,LC,mexicanus
,Pine Grosbeak,Pinicola,LC,enucleator
,Red Crossbill,Loxia,LC,curvirostra
,Two-barred Crossbill,Loxia,LC,leucoptera
,Evening Grosbeak,Hesperiphona,LC,vespertina
,Golden-winged Warbler,Vermivora,NT,chrysoptera
,Blue-winged Warbler,Vermivora,LC,pinus
,Tennessee Warbler,Vermivora,LC,peregrina
,Orange-crowned Warbler,Vermivora,LC,celata
,Nashville Warbler,Vermivora,LC,ruficapilla
,Virginia's Warbler,Vermivora,LC,virginiae
,Northern Parula,Parula,LC,americana
,Chestnut-sided Warbler,Dendroica,LC,pensylvanica
,American Yellow Warbler,Dendroica,LC,petechia
,Blackpoll Warbler,Dendroica,LC,striata
,Bay-breasted Warbler,Dendroica,LC,castanea
,Blackburnian Warbler,Dendroica,LC,fusca
,Magnolia Warbler,Dendroica,LC,magnolia
,Cape May Warbler,Dendroica,LC,tigrina
,Black-throated Blue Warbler,Dendroica,LC,caerulescens
,Yellow-rumped Warbler,Dendroica,LC,coronata
,Black-throated Grey Warbler,Dendroica,LC,nigrescens
,Black-throated Green Warbler,Dendroica,LC,virens
,Townsend's Warbler,Dendroica,LC,townsendi
,Yellow-throated Warbler,Dendroica,LC,dominica
,Pine Warbler,Dendroica,LC,pinus
,Kirtland's Warbler,Dendroica,NT,kirtlandii
,Palm Warbler,Dendroica,LC,palmarum
,Black-and-white Warbler,Mniotilta,LC,varia
,American Redstart,Setophaga,LC,ruticilla
,Prothonotary Warbler,Protonotaria,LC,citrea
,Worm-eating Warbler,Helmitheros,LC,vermivorus
,Ovenbird,Seiurus,LC,aurocapillia
,Northern Waterthrush,Seiurus,LC,noveboracensis
,Louisiana Waterthrush,Seiurus,LC,motacilla
,Kentucky Warbler,Oporornis,LC,formosus
,Connecticut Warbler,Oporornis,LC,agilis
,Mourning Warbler,Oporornis,LC,philadelphia
,MacGillivray's Warbler,Oporornis,LC,tolmiei
,Common Yellowthroat,Geothlypis,LC,trichas
,Hooded Warbler,Wilsonia,LC,citrina
,Wilson's Warbler,Wilsonia,LC,pusilla
,Canada Warbler,Wilsonia,LC,canadensis
,Yellow-breasted Chat,Icteria,LC,virens
,Orchard Oriole,Icterus,LC,spurius
,Hooded Oriole,Icterus,LC,cucullatus
,Baltimore Oriole,Icterus,LC,galbula
,Bullock's Oriole,Icterus,LC,bullockii
,Bronzed Cowbird,Molothrus,LC,aeneus
,Brown-headed Cowbird,Molothrus,LC,ater
,Red-winged Blackbird,Agelaius,LC,phoenicus
,Rusty Blackbird,Euphagus,VU,carolinus
,Brewer's Blackbird,Euphagus,LC,cyanocephalus
,Common Grackle,Quiscalus,LC,quiscula
,Great-tailed Grackle,Quiscalus,LC,mexicanus
P. R.,Greater Antillean Grackle,Quiscalus,LC,niger
,Eastern Meadowlark,Sturnella,LC,magna
,Snow Bunting,Plectrophenax,LC,nivalis
,Fox Sparrow,Passerella,LC,iliaca
,Song Sparrow,Melospiza,LC,melodia
,Lincoln's Sparrow,Melospiza,LC,lincolnii
,Swamp Sparrow,Melospiza,LC,georgiana
,Harris's Sparrow,Zonotrichia,LC,querula
,White-crowned Sparrow,Zonotrichia,LC,leucophrys
,White-throated Sparrow,Zonotrichia,LC,albicollis
,Golden-crowned Sparrow,Zonotrichia,LC,atricapilla
,Dark-eyed Junco,Junco,LC,hyemalis
,Yellow-eyed Junco,Junco,LC,phaeonotus
,Savannah Sparrow,Passerculus,LC,sandwichensis
,Nelson's Sparrow,Ammodramus,LC,nelsoni
,LeConte's Sparrow,Ammodramus,LC,leconteii
,Grasshopper Sparrow,Ammodramus,LC,savannarum
,American Tree Sparrow,Spizella,LC,arborea
,Chipping Sparrow,Spizella,LC,passerina
,Field Sparrow,Spizella,LC,pusilla
,Black-chinned Sparrow,Spizella,LC,atrogularis
,Clay-colored Sparrow,Spizella,LC,pallida
,Brewer's Sparrow,Spizella,NT,breweri
,Lark Sparrow,Chondestes,LC,grammacus
,Black-throated Sparrow,Amphispiza,LC,bilineata
,Cassin's Sparrow,Aimophila,LC,cassinii
,Green-tailed Towhee,Pipilo,LC,chlorurus
,Spotted Towhee,Pipilo,LC,maculatus
,Eastern Towhee,Pipilo,LC,erythrophthalmus
,Canyon Towhee,Pipilo,LC,fuscus
,California Towhee,Pipilo,LC,crissalis
Hawaii,Red-crested Cardinal,Paroaria,LC,coronata
P. R.,Black-faced Grassquit,Tiaris,LC,bicolor
,Summer Tanager,Piranga,LC,rubra
,Scarlet Tanager,Piranga,LC,olivacea
,Western Tanager,Piranga,LC,ludoviciana
,Dickcissel,Spiza,LC,americana
,Rose-breasted Grosbeak,Pheucticus,LC,ludovicianus
,Black-headed Grosbeak,Pheucticus,LC,melanocephalus
,Northern Cardinal,Cardinalis,LC,cardinalis
,Pyrrhuloxia,Cardinalis,LC,sinuatus
,Blue Grosbeak,Passerina,LC,caerulea
,Indigo Bunting,Passerina,LC,cyanea
,Lazuli Bunting,Passerina,LC,amoena
,Painted Bunting,Passerina,NT,ciris
