Director(s),Fans' Rank,Overall Rank,Title,Year
John Huston,101,92,The Treasure of the Sierra Madre,1948
Harold Ramis,102,130,Groundhog Day,1993
Ingmar Bergman,103,119,The Seventh Seal,1957
Akira Kurosawa,104,84,Rash?mon,1950
Leo McCarey,105,56,Duck Soup,1933
Charles Chaplin,106,68,City Lights,1931
Spike Lee,107,100,Do the Right Thing,1989
Ang Lee,108,165,"Crouching Tiger, Hidden Dragon",2000
Woody Allen,109,135,Manhattan,1979
William Wyler,110,140,Ben-Hur,1959
Fritz Lang,111,75,M,1931
Terry Gilliam,112,341,Twelve Monkeys,1995
Danny Boyle,113,117,Trainspotting,1996
Stanley Kubrick,114,152,Paths of Glory,1957
Darren Aronofsky,115,434,Requiem for a Dream,2000
Billy Wilder,116,127,The Apartment,1960
Sidney Lumet,117,221,Network,1976
Barry Levinson,118,347,Rain Man,1988
Rob Reiner,119,78,This Is Spinal Tap,1984
Kevin Costner,120,213,Dances with Wolves,1990
Akira Kurosawa,121,185,Ran,1985
Frank Capra,122,156,Mr. Smith Goes to Washington,1939
David Lynch,123,310,Mulholland Dr.,2001
Vittorio De Sica,124,67,The Bicycle Thief,1948
Fred Zinnemann,125,58,High Noon,1952
Fritz Lang,126,53,Metropolis,1927
John Sturges,127,166,The Great Escape,1963
Steven Spielberg,128,450,Indiana Jones and the Last Crusade,1989
Tony Kaye,129,706,American History X,1998
George Roy Hill,130,281,The Sting,1973
Charles Chaplin,131,108,Modern Times,1936
Spike Jonze,132,319,Being John Malkovich,1999
Gus Van Sant,133,387,Good Will Hunting,1997
Jerome Robbins and Robert Wise,134,88,West Side Story,1961
Sidney Lumet,135,285,Dog Day Afternoon,1975
Luc Besson,136,282,The Professional,1994
Merian C. Cooper and Ernest B. Schoedsack,137,47,King Kong,1933
Kevin Smith,138,322,Clerks.,1994
Elia Kazan,139,145,A Streetcar Named Desire,1951
Fran?ois Truffaut,140,71,The 400 Blows,1959
Jean-Pierre Jeunet,141,182,Am?lie,2001
Roberto Benigni,142,238,Life Is Beautiful,1997
Nicholas Ray,143,115,Rebel without a Cause,1955
Tim Burton,144,497,Ed Wood,1994
Howard Hawks,145,163,The Big Sleep,1946
Peter Weir,146,291,The Truman Show,1998
Mel Brooks,147,260,Young Frankenstein,1974
Stuart Rosenberg,148,336,Cool Hand Luke,1967
David Lynch,149,421,The Elephant Man,1980
Brian De Palma,150,408,The Untouchables,1987
Franklin J. Schaffner,151,241,Patton,1970
John Hughes,152,295,Ferris Bueller's Day Off,1986
Frank Capra,153,69,It Happened One Night,1934
Francis Ford Coppola,154,155,The Conversation,1974
George Cukor,155,109,The Philadelphia Story,1940
Edward Zwick,156,395,Glory,1989
Wolfgang Petersen,157,194,Das Boot,1981
John Huston,158,120,The African Queen,1951
Sergio Leone,159,207,Once Upon a Time in America,1984
John Ford,160,102,The Grapes of Wrath,1940
Tim Burton,161,451,Batman,1989
Joel Coen,162,528,Raising Arizona,1987
"Jerry Zucker, Jim Abrahams, and David Zucker",163,175,Airplane!,1980
Charles Laughton,164,61,The Night of the Hunter,1955
Rob Reiner,165,315,Stand by Me,1986
Cameron Crowe,166,571,Almost Famous,2000
Alfred Hitchcock,167,235,Strangers on a Train,1951
Alfred Hitchcock,168,104,Notorious,1946
Robert Wise,169,79,The Sound of Music,1965
Paul Thomas Anderson,170,373,Boogie Nights,1997
Alfred Hitchcock,171,225,Rebecca,1940
Martin Scorsese,172,488,Casino,1995
Howard Hawks,173,52,Bringing Up Baby,1938
Frank Darabont,174,560,The Green Mile,1999
Clyde Bruckman and Buster Keaton,175,45,The General,1926
Martin Scorsese,176,190,Mean Streets,1973
Baz Luhrmann,177,219,Moulin Rouge!,2001
Terry Jones,178,147,Life of Brian,1979
John Carpenter,179,131,Halloween,1978
Ivan Reitman,180,314,Ghostbusters,1984
Quentin Tarantino,181,351,Kill Bill: Vol. 1,2003
Andrew Davis,182,496,The Fugitive,1993
Fernando Meirelles,183,227,City of God,2002
Franklin J. Schaffner,184,240,Planet of the Apes,1968
"James Algar, Samuel Armstrong, Ford Beebe, Norman Ferguson, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, and Paul Satterfield",185,199,Fantasia,1940
Phil Alden Robinson,186,245,Field of Dreams,1989
Sergei M. Eisenstein,187,74,The Battleship Potemkin,1925
Jean-Luc Godard,188,81,Breathless,1960
William Friedkin,189,151,The French Connection,1971
Alfred Hitchcock,190,262,The Birds,1963
Tom Tykwer,191,494,Run Lola Run,1998
Jean Renoir,192,70,The Rules of the Game,1939
Stanley Kubrick,193,211,Spartacus,1960
William Wyler,194,126,The Best Years of Our Lives,1946
Richard Kelly,195,212,Donnie Darko,2001
Tim Burton,196,287,Edward Scissorhands,1990
Ingmar Bergman,197,158,Persona,1966
Gary Trousdale and Kirk Wise,198,246,Beauty and the Beast,1991
Carl Theodor Dreyer,199,143,The Passion of Joan of Arc,1928
Federico Fellini,200,134,La Dolce Vita,1960
