% Valid Poll,First Preference Votes,No. of Seats,Party
29.62%,"208,278",182,Democratic Unionist Party (DUP)
23.27%,"163,650",126,Sinn F�in (SF)
17.97%,"126,353",115,Ulster Unionist Party (UUP)
17.35%,"121,991",101,Social Democratic and Labour Party (SDLP)
5.00%,"35,149",30,Alliance Party of Northern Ireland (APNI)
0.81%,"5,703",3,Green Party
0.65%,"4,591",2,Progressive Unionist Party (PUP)
0.29%,"2,064",2,United Unionist Coalition (UUC)
0.27%,"1,897",1,Newtownabbey Ratepayers Association
0.19%,"1,321",0,Socialist Environmental Alliance (SEA)
0.17%,"1,164",0,Conservative Party
0.15%,"1,052",0,Workers' Party (WP)
0.12%,828,0,Socialist Party
0.10%,738,0,Northern Ireland Women's Coalition (NIWC)
0.10%,734,0,United Kingdom Unionist Party (UKUP)
3.94%,"27,676",20,Independent Candidates
100.00%,"703,189",582,Total
