Daily earnings,Daily traffic,Domain,Ip Adress,Rank
$8.36,"≈2,315",alantron.com,78.111.98.103,"492,622"
$0.74,≈52,kamotonet.com,78.111.98.114,"19,465,580"
$0.74,≈52,n/a zamanbuldukca.com,78.111.98.105,"28,139,595"
$0.83,≈66,n/a tekirdagda.com,78.111.98.105,"16,842,952"
$0.74,≈52,n/a izmirrehberi.biz,78.111.98.105,"28,941,450"
$0.74,≈52,n/a orhunemre.com,78.111.98.105,"25,519,744"
$0.74,≈52,n/a dnztemizlikhizmetleri.com,78.111.98.105,"27,500,685"
$0.74,≈52,n/a yesilcakraz.com,78.111.98.105,"18,935,090"
$1.73,≈236,n/a guvenliks.com,78.111.98.115,"4,773,611"
$1.07,≈96,n/a evimize.com,78.111.98.115,"11,816,384"
