#,MIX,Media
1,27.500,Dainik Jagran
2,14.000,Dainik Bhaskar
3,7.000,Aajtak TV
4,6.000,CNN Editions (International)
5,5.000,Dinakaran
6,4.000,Malayala Manorama
7,3.800,Divya Bhaskar
8,3.500,Dinamalar
9,3.000,Huffington Post
10,3.000,foxnews
11,2.600,bbc Hindi
12,2.500,indosiar
13,2.410,Softpedia
14,2.100,Dina Thanthi
15,2.000,CNN
16,2.000,People's Daily (Renmin Ri Bao)
17,2.000,USA Today
18,2.000,Navbharat Times
19,1.800,Sahara Samay english
20,1.750,Punjab Kesari
,,More Media >>
