City,City population,Country,Mayor,Metro population,World rank
Ecatepec,"1,688,000",Mexico,Eruviel �vila Villegas,"1,690,000",178
Edmonton,"730,000",Canada,Stephen Mandel,"1,035,000",526
Einhoven,"212,000",Netherlands,R van Gijzel,"440,000",n/r
Ekaterinburg,"1,323,000",Russia,Eugene Porunov,"1,389,000",286
Erfurt,"203,000",Germany,Andreas Bausewein,,n/r
Esfahan,"1,584,000",Iran,Morteza Saqaeian Nejad,"2,600,000",197
Essen,"580,000",Germany,Reinhard Pa�,,579
Ezhou,"1,064,000",China,n/k,,385
Faisalabad,"2,510,000",Pakistan,Rana Zahid Tauseef,"5,081,000",107
Faridabad,"1,055,000",India,n/k,"2,193,000",387
Feicheng,"960,000",China,n/k,,426
Fengcheng,"1,250,000",China,n/k,,310
Fes,"1,009,000",Morocco,n/k,,405
Fez,"921,000",Morocco,n/k,"921,000",438
Florence,"375,000",Italy,Matteo Renzi,"825,000",n/r
Fortaleza,"2,506,000",Brazil,Luizianne Lins,"3,415,000",108
Frankfurt,"665,000",Germany,Petra Roth,"2,717,000",557
FREETOWN,"1,032,000",Sierra Leone,Herbert-George Williams,"1,032,000",395
Freiburg,"220,000",Germany,Dieter Salomon,,n/r
Fresno,"500,000",USA,Ashley Swearengin,"1,000,000",n/r
Fukuoka,"1,450,000",Japan,Hiroshi Yoshida,"2,230,000",234
Fuqing,"1,200,000",China,n/k,,323
Fushun,"1,445,000",China,Wang Yang,"2,300,000",238
Fuxin,"690,000",China,n/k,"969,000",541
Fuyang,"1,720,000",China,Sun Yunfei,,174
Fuzhou (Fujian),"2,710,000",China,Yuan Rongxiang,"6,630,000",91
Fuzhou (Jiangxi),"1,020,000",China,X�e Y�s��,"3,700,000",399
Gaozhou,"1,650,000",China,n/k,,185
Gaza,"410,000",Palestine,n/k,"1,000,000",n/r
Gaziantep,"927,000",Turkey,n/k,"1,912,000",434
Gdansk,"457,000",Poland,Pawel Adamowicz,"866,000",n/r
Gelsenkirchen,"262,000",Germany,Frank Baranowski,,n/r
Gent,"233,000",Belgium,Dani�l Termont,,n/r
Ghaziabad,"970,000",India,Damyanti Goel,,420
Giza,"2,225,000",Egypt,n/k,"2,600,000",127
Glasgow,"581,000",UK,n/k,"1,200,000",578
Goiania,"1,282,000",Brazil,�ris Rezende Machado,"2,064,000",301
Gongzhuling,"1,050,000",China,n/k,,391
Gothenburg,"506,000",Sweden,Anneli Hulth�n,"916,000",n/r
Goyang,"1,073,000",South Korea,n/k,,378
Grand Rapids,"193,000",USA,George Heartwell,"777,000",n/r
Greensboro,"256,000",USA,Bill Knight,"710,000",n/r
Guadalajara,"1,580,000",Mexico,Jorge Aristoteles Sandoval,"3,600,000",198
