Director(s),Overall Rank,Rank,Title,Year
Stanley Kubrick,4,1,2001: A Space Odyssey,1968
Victor Fleming,5,2,The Wizard of Oz,1939
George Lucas,8,3,Star Wars,1977
David Lean,9,4,Lawrence of Arabia,1962
Steven Spielberg,23,5,E.T. the Extra-Terrestrial,1982
John Ford,28,6,The Searchers,1956
Steven Spielberg,29,7,Raiders of the Lost Ark,1981
Alfred Hitchcock,31,8,North by Northwest,1959
Akira Kurosawa,32,9,The Seven Samurai,1954
Andy and Larry Wachowski,42,10,The Matrix,1999
Irvin Kershner,43,11,The Empire Strikes Back,1980
Merian C. Cooper and Ernest B. Schoedsack,47,12,King Kong,1933
David Lean,57,13,The Bridge on the River Kwai,1957
Peter Jackson,60,14,The Lord of the Rings: The Fellowship of the Ring,2001
James Cameron,63,15,Titanic,1997
John Lasseter,64,16,Toy Story,1995
Robert Zemeckis,91,17,Back to the Future,1985
John Huston,92,18,The Treasure of the Sierra Madre,1948
Peter Jackson,96,19,The Lord of the Rings: The Return of the King,2003
Charles Chaplin,97,20,The Gold Rush,1925
Ridley Scott,113,21,Gladiator,2000
George Roy Hill,114,22,Butch Cassidy and the Sundance Kid,1969
John Huston,120,23,The African Queen,1951
Peter Jackson,123,24,The Lord of the Rings: The Two Towers,2002
Preston Sturges,125,25,Sullivan's Travels,1941
Rob Reiner,132,26,The Princess Bride,1987
Terry Gilliam and Terry Jones,133,27,Monty Python and the Holy Grail,1975
William Wyler,140,28,Ben-Hur,1959
Steven Spielberg,149,29,Jurassic Park,1993
Michael Curtiz and William Keighley,153,30,The Adventures of Robin Hood,1938
Ang Lee,165,31,"Crouching Tiger, Hidden Dragon",2000
John Sturges,166,32,The Great Escape,1963
Hayao Miyazaki,174,33,Spirited Away,2001
Richard Marquand,178,34,Return of the Jedi,1983
Guy Hamilton,186,35,Goldfinger,1964
Werner Herzog,188,36,Aguirre: The Wrath of God,1972
Stanley Kubrick,211,37,Spartacus,1960
Kevin Costner,213,38,Dances with Wolves,1990
Hamilton Luske and Ben Sharpsteen,217,39,Pinocchio,1940
Howard Hawks,234,40,Red River,1948
Franklin J. Schaffner,240,41,Planet of the Apes,1968
John Lasseter,268,42,Toy Story 2,1999
Roger Allers and Rob Minkoff,270,43,The Lion King,1994
Richard Donner,272,44,Superman,1978
Andrew Adamson and Vicky Jenson,284,45,Shrek,2001
George Miller,306,46,The Road Warrior,1981
Ivan Reitman,314,47,Ghostbusters,1984
Rob Reiner,315,48,Stand by Me,1986
John Sturges,318,49,The Magnificent Seven,1960
John Boorman,326,50,Deliverance,1972
Philip Kaufman,371,51,The Right Stuff,1983
Chris Noonan,372,52,Babe,1995
Andrew Stanton,374,53,Finding Nemo,2003
Andrei Tarkovsky,377,54,Solaris,1972
Gore Verbinski,379,55,Pirates of the Caribbean: The Curse of the Black Pearl,2003
Howard Hawks,383,56,To Have and Have Not,1944
Brad Bird,385,57,The Incredibles,2004
Jay Roach,401,58,Austin Powers: International Man of Mystery,1997
Cecil B. DeMille,403,59,The Ten Commandments,1956
Roland Emmerich,431,60,Independence Day,1996
Tony Richardson,435,61,Tom Jones,1963
Paul Verhoeven,441,62,Starship Troopers,1997
Frank Lloyd,447,63,Mutiny on the Bounty,1935
Wolfgang Reitherman,449,64,The Jungle Book,1967
Steven Spielberg,450,65,Indiana Jones and the Last Crusade,1989
Brad Bird,463,66,The Iron Giant,1999
Michael Mann,468,67,The Last of the Mohicans,1992
Ron Howard,485,68,Apollo 13,1995
Cy Endfield,491,69,Zulu,1964
Andrew Davis,496,70,The Fugitive,1993
Sydney Pollack,498,71,Out of Africa,1985
Sam Raimi,501,72,Spider-Man,2002
Nicholas Meyer,507,73,Star Trek: The Wrath of Khan,1982
Andrei Tarkovsky,509,74,Stalker,1979
Georges M?li?s,517,75,Voyage to the Moon,1902
Terence Young,524,76,Dr. No,1962
Joel Coen,528,77,Raising Arizona,1987
Hayao Miyazaki,537,78,Princess Mononoke,1997
Werner Herzog,541,79,Fitzcarraldo,1982
Hayao Miyazaki,554,80,My Neighbor Totoro,1988
Barry Sonnenfeld,562,81,Men in Black,1997
Stanley Donen,580,82,Seven Brides for Seven Brothers,1954
Steven Spielberg,584,83,A.I.: Artificial Intelligence,2001
Peter Weir,598,84,Gallipoli,1981
George Miller,606,85,Mad Max,1979
Pete Docter,607,86,"Monsters, Inc.",2001
Alfonso Cuar?n,609,87,Children of Men,2006
George Stevens,623,88,Gunga Din,1939
Clint Eastwood,645,89,The Outlaw Josey Wales,1976
Andrew Stanton,650,90,WALL?E,2008
James Cameron,661,91,The Abyss,1989
David O. Russell,663,92,Three Kings,1999
John Huston,665,93,The Man Who Would be King,1975
Steven Spielberg,676,94,Indiana Jones and the Temple of Doom,1984
Chris Columbus,692,95,Harry Potter and the Sorcerer's Stone,2001
Raoul Walsh,694,96,The Thief of Bagdad,1924
Steven Lisberger,703,97,Tron,1982
"Ludwig Berger, Michael Powell, and Tim Whelan",709,98,The Thief of Bagdad,1940
Don Chaffey,715,99,Jason and the Argonauts,1963
Terence Young,720,100,From Russia with Love,1963
