Director(s),Fans' Rank,Overall Rank,Title,Year
Fritz Lang,111,75,M,1931
Robert Altman,223,128,M*A*S*H,1970
Orson Welles,355,201,The Magnificent Ambersons,1942
John Sturges,346,318,The Magnificent Seven,1960
Paul Thomas Anderson,79,202,Magnolia,1999
Spike Lee,368,582,Malcolm X,1992
John Huston,57,44,The Maltese Falcon,1941
John Ford,305,288,The Man Who Shot Liberty Valance,1962
John Frankenheimer,92,124,The Manchurian Candidate,1962
Woody Allen,109,135,Manhattan,1979
Robert Stevenson,343,252,Mary Poppins,1964
Andy and Larry Wachowski,34,42,The Matrix,1999
Robert Altman,509,290,McCabe & Mrs. Miller,1971
Martin Scorsese,176,190,Mean Streets,1973
Christopher Nolan,59,136,Memento,2000
Barry Sonnenfeld,429,562,Men in Black,1997
Fritz Lang,126,53,Metropolis,1927
John Schlesinger,99,142,Midnight Cowboy,1969
Joel Coen,225,460,Miller's Crossing,1990
Steven Spielberg,297,796,Minority Report,2002
Andrei Tarkovsky,485,887,The Mirror,1975
Rob Reiner,513,1202,Misery,1990
Charles Chaplin,131,108,Modern Times,1936
Pete Docter,440,607,"Monsters, Inc.",2001
Terry Gilliam and Terry Jones,62,133,Monty Python and the Holy Grail,1975
Baz Luhrmann,177,219,Moulin Rouge!,2001
Frank Capra,122,156,Mr. Smith Goes to Washington,1939
David Lynch,123,310,Mulholland Dr.,2001
Frank Lloyd,507,447,Mutiny on the Bounty,1935
George Cukor,279,164,My Fair Lady,1964
Clint Eastwood,384,1511,Mystic River,2003
Robert Altman,247,86,Nashville,1975
Oliver Stone,261,759,Natural Born Killers,1994
Barry Levinson,481,908,The Natural,1984
Sidney Lumet,117,221,Network,1976
Sam Wood,364,253,A Night at the Opera,1935
Charles Laughton,164,61,The Night of the Hunter,1955
George A. Romero,229,139,Night of the Living Dead,1968
Henry Selick,314,419,The Nightmare Before Christmas,1993
Federico Fellini,391,440,Nights of Cabiria,1957
Alfred Hitchcock,31,31,North by Northwest,1959
F.W. Murnau,219,105,Nosferatu,1922
Alfred Hitchcock,168,104,Notorious,1946
Joel Coen,232,776,"O Brother, Where Art Thou?",2000
Mike Judge,283,774,Office Space,1999
Elia Kazan,51,40,On the Waterfront,1954
Sergio Leone,159,207,Once Upon a Time in America,1984
Sergio Leone,86,107,Once Upon a Time in the West,1968
Milos Forman,18,35,One Flew over the Cuckoo's Nest,1975
Robert Redford,399,481,Ordinary People,1980
Alejandro Amen?bar,496,803,The Others,2001
Jacques Tourneur,463,242,Out of the Past,1947
Clint Eastwood,448,645,The Outlaw Josey Wales,1976
Carl Theodor Dreyer,199,143,The Passion of Joan of Arc,1928
Satyajit Ray,387,159,Pather Panchali,1955
Stanley Kubrick,114,152,Paths of Glory,1957
Franklin J. Schaffner,151,241,Patton,1970
Michael Powell,506,258,Peeping Tom,1960
Ingmar Bergman,197,158,Persona,1966
Jonathan Demme,471,898,Philadelphia,1993
George Cukor,155,109,The Philadelphia Story,1940
Darren Aronofsky,476,945,Pi,1998
Roman Polanski,287,470,The Pianist,2002
Jane Campion,307,247,The Piano,1993
Hamilton Luske and Ben Sharpsteen,435,217,Pinocchio,1940
Gore Verbinski,357,379,Pirates of the Caribbean: The Curse of the Black Pearl,2003
John Hughes,328,1017,"Planes, Trains & Automobiles",1987
Franklin J. Schaffner,184,240,Planet of the Apes,1968
Oliver Stone,67,122,Platoon,1986
Robert Altman,289,492,The Player,1992
Gary Ross,415,1260,Pleasantville,1998
John McTiernan,341,814,Predator,1987
Rob Reiner,96,132,The Princess Bride,1987
Hayao Miyazaki,358,537,Princess Mononoke,1997
Mel Brooks,258,184,The Producers,1968
Luc Besson,136,282,The Professional,1994
Alfred Hitchcock,14,7,Psycho,1960
Quentin Tarantino,2,15,Pulp Fiction,1994
Paul Thomas Anderson,426,1131,Punch-Drunk Love,2002
John Ford,405,307,The Quiet Man,1952
Robert Redford,502,1012,Quiz Show,1994
Martin Scorsese,24,18,Raging Bull,1980
Steven Spielberg,16,29,Raiders of the Lost Ark,1981
Barry Levinson,118,347,Rain Man,1988
Yimou Zhang,427,363,Raise the Red Lantern,1991
Joel Coen,162,528,Raising Arizona,1987
Akira Kurosawa,121,185,Ran,1985
Akira Kurosawa,104,84,Rash?mon,1950
Alfred Hitchcock,21,34,Rear Window,1954
Alfred Hitchcock,171,225,Rebecca,1940
Nicholas Ray,143,115,Rebel without a Cause,1955
Howard Hawks,337,234,Red River,1948
Michael Powell and Emeric Pressburger,475,204,The Red Shoes,1948
James Ivory,436,594,The Remains of the Day,1993
Roman Polanski,428,350,Repulsion,1965
Darren Aronofsky,115,434,Requiem for a Dream,2000
Quentin Tarantino,32,66,Reservoir Dogs,1992
Richard Marquand,58,178,Return of the Jedi,1983
Philip Kaufman,316,371,The Right Stuff,1983
Howard Hawks,408,279,Rio Bravo,1959
Sam Mendes,392,1224,Road to Perdition,2002
George Miller,262,306,The Road Warrior,1981
Paul Verhoeven,421,495,RoboCop,1987
Michael Bay,433,1058,The Rock,1996
John G. Avildsen,97,101,Rocky,1976
Jim Sharman,467,301,The Rocky Horror Picture Show,1975
William Wyler,356,300,Roman Holiday,1953
Alfred Hitchcock,367,1055,Rope,1948
Roman Polanski,210,193,Rosemary's Baby,1968
Wes Anderson,266,516,The Royal Tenenbaums,2001
Jean Renoir,192,70,The Rules of the Game,1939
Tom Tykwer,191,494,Run Lola Run,1998
Wes Anderson,238,286,Rushmore,1998
