,List Price,No.,Part #,Part # / Description,Price
,$38.03,1,52441-SNA-A12,"52441-SNA-A12 / SPRING, RR.",$27.38
,$131.18,2,52610-SNE-A03,"52610-SNE-A03 / SHOCK ABSORBER ASSY., RR.",$94.45
,$5.42,3,52621-SB2-004,"52621-SB2-004 / WASHER, RR. SHOCK ABSORBER MOUNTING (SHOWA)",$3.90
,$10.03,4,52622-SNA-A01,"52622-SNA-A01 / BUSH, RR. SHOCK ABSORBER (LOWER)",$7.22
,$14.52,5,52631-SNA-A12,"52631-SNA-A12 / RUBBER, RR. SHOCK ABSORBER MOUNTING",$10.45
,$2.08,7,52631-SNA-A22,"52631-SNA-A22 / RUBBER, RR. SHOCK ABSORBER MOUNTING",$1.50
,$23.43,8,52691-SNV-P00,"52691-SNV-P00 / RUBBER, RR. SPRING MOUNTING",$16.87
,$17.62,8,52691-SNA-A01,"52691-SNA-A01 / RUBBER, RR. SPRING MOUNTING",$12.68
,$23.55,9,52748-SNA-A10,"52748-SNA-A10 / RUBBER, RR. SPRING SEAT (LOWER)",$16.96
,$2.28,10,90181-SNA-000,"90181-SNA-000 / BOLT, FLANGE (12X65)",$1.64
,$4.12,11,90364-SNA-901,"90364-SNA-901 / NUT, SELF-LOCK (10MM) (FUSE RASHI)",$2.96
,$2.25,11,90364-SNA-003,"90364-SNA-003 / NUT, SELF-LOCK (10MM) (NYLON) (FUSE RASHI)",$1.62
,$2.42,12,91560-SNA-A01,"91560-SNA-A01 / CLIP, TRIM",$1.74
