City,Class,County,Emission,Frequency,Lat,Loc #,Long,Pag,Pwr,State,Units
SKANEATELES,FB,ONONDAGA,20K0F3E,39.46000000,42.94783,1,-76.43078,0,50.000,NY,1
SKANEATELES,FB,ONONDAGA,11K0F3E,39.46000000,42.94783,1,-76.43078,0,50.000,NY,1
SKANEATELES,FB,ONONDAGA,11K0F3E,154.74000000,42.94783,1,-76.43078,0,35.000,NY,1
SKANEATELES,FB,ONONDAGA,20K0F3E,154.74000000,42.94783,1,-76.43078,0,35.000,NY,1
SKANEATELES,FB,ONONDAGA,11K0F3E,154.86000000,42.94783,1,-76.43078,0,35.000,NY,1
SKANEATELES,FB,ONONDAGA,20K0F3E,154.86000000,42.94783,1,-76.43078,0,35.000,NY,1
SKANEATELES,FB,ONONDAGA,20K0F3E,155.41500000,42.94783,1,-76.43078,0,35.000,NY,1
SKANEATELES,FB,ONONDAGA,11K0F3E,155.41500000,42.94783,1,-76.43078,0,35.000,NY,1
SKANEATELES,FB,ONONDAGA,11K0F3E,155.64000000,42.94783,1,-76.43078,0,35.000,NY,1
SKANEATELES,FB,ONONDAGA,20K0F3E,155.64000000,42.94783,1,-76.43078,0,35.000,NY,1
SKANEATELES,FB,ONONDAGA,11K0F3E,155.68500000,42.94783,1,-76.43078,0,35.000,NY,1
SKANEATELES,FB,ONONDAGA,20K0F3E,155.68500000,42.94783,1,-76.43078,0,35.000,NY,1
