Applicant,Citing Patent,Filing date,Publication date,Title
The Whitaker Corporation,US5608196 *,"Sep 8, 1995","Mar 4, 1997",Normally closed dimmer switch contact assembly separated by rocker actuator interposed insulation plate
The Whitaker Corporation,US5659151 *,"Sep 9, 1994","Aug 19, 1997",Wire management knockout closure for electrical boxes
"1012384 Ontario, Inc.",US5753983 *,"Aug 9, 1995","May 19, 1998",Multi-function control switch for electrically operating devices
Patrick O'Donnell,US6483031 *,"Feb 23, 2001","Nov 19, 2002",Mounting bracket and extra-low voltage control device for installation with an electrical outlet box
"Pass & Seymour, Inc.",US6657144 *,"Dec 28, 2001","Dec 2, 2003",Through strap for switch
Steven Troyen,US6774308 *,"Mar 17, 2003","Aug 10, 2004",Wire termination box assembly and associated method of installation
Frank P. Rose,US6929140,"Sep 9, 2002","Aug 16, 2005",Universal junction box
"Desa Ip, Llc",US6940016,"Aug 6, 2003","Sep 6, 2005",Electrical rough-in box for low voltage transformer
"Arlington Industries, Inc.",US6951983 *,"Jun 30, 2004","Oct 4, 2005",Outlet box assembly
Rose Frank P,US7019211,"May 27, 2005","Mar 28, 2006",Universal junction box
Rose Frank P,US7179993,"Feb 24, 2006","Feb 20, 2007",Universal junction box with mounting aperture
Charles B. Perkins,US7238882,"Jan 20, 2004","Jul 3, 2007",Low voltage door switch
"Lutron Electronics Co., Inc.",US7375951,"Jul 7, 2006","May 20, 2008",Load control device having a split enclosure
"Lutron Electronics Co., Inc.",US7499261 *,"Mar 13, 2008","Mar 3, 2009",Load control device having a split enclosure
"Arlington Industries, Inc.",US8569619 *,"Jun 6, 2011","Oct 29, 2013",Electrical box assembly for angled recessed mounting of high and low voltage components
Homerun Holdings Corporation,US8598993 *,"Aug 15, 2008","Dec 3, 2013",Method for wiring devices in a structure using a wireless network
Gretz Thomas J,US20110232957 *,,"Sep 29, 2011",Electrical box assembly for angled recessed mounting of high and low voltage components
