Capital,Date,Government,Languages,Name,Previous Names
Algiers,1962,Military Dictatorship,Arabic French Kabyle,Algeria,Maghreb
Luanda,1975,One Party State,Mbundu Portuguese Kongo,Angola,
Porto-Novo,,Republic,Fon French,Benin,Dahomey
Gaborone,1966,Republic,Tswana English Bushmen,Botswana,Bechuanaland
Ouagadougou,1919,,More French,Burkina Faso,Upper Volta
Bujumbura,,One Party State,Rundi French,Burundi,
Yaounde,1960,Military Dictatorship,Fang Bulu Yaunde Fulani English French,Cameroon,
Praia,,Republic,Portuguese,Cape Verde,
Bangui,,Republic,Sango French Gbaya Banda,Central African Republic,
N'Djamena,1920,One Party State,Sara Arabic French,Chad,
Moroni,,One Party State,Comoran French Arabic,Comoros,
Brazzaville,,One Party State,Lingala Kongo French,Congo (Brazzaville),
Kinshasa,,No effective government,Kingwana Luba Kongo Lingala French many others,Congo,Zaire
Djibouti,1977,Republic,Arabic Afar Somali French,Djibouti,Afars and Issas
Cairo,c3000BC,One Party State,Arabic,Egypt,United Arab Republic
Malabo,,Military Dictatorship,Fang Spanish,Equatorial Guinea,
Asmara,1993,One Party State,Tigrinya Tigre,Eritrea,
Addis Ababa,c500BC,Republic,Amharic Tigrinya Galla Sidamo Somali English many others,Ethiopia,Abassynia
Libreville,1839,One Party State,Fang French many others,Gabon,
Banjul,,Military Dictatorship,Wolof Malinke English,Gambia,
Accra,1957,Republic,Twi Fanti Ewe English,Ghana,Gold Coast
Conakry,,One Party State,Fulani Malinke French,Guinea,
Bissau,1446,Republic,Balante Fulani Portuguese,Guinea-Bissaau,
Abidjan,,One Party State,Dyula French many others,Ivory Coast,
Nairobi,1885,Republic,Swahili English Kikuyu Kamba Luo,Kenya,East Africa
Maseru,1818,Republic,Sotho English,Lesotho,Basutoland
Monrovia,,No effective government,Kpelle English,Liberia,
Tripoli,1934,One Party State,Arabic Tamashek,Libya,
Antananarivo,1958,Republic,Malagasay,Malagasy Republic,Madagascar
Lilongwe,,Republic,Nyanja English Yao,Malawi,Nyasaland
Bamako,1960,Republic,Bambara Fulani Soninke Malinke French many others,Mali,Soudan
Nouakchott,,Military Dictatorship,Arabic French,Mauritania,
Port Louis,,Republic,French English,Mauritius,
Mamoudzou,,Colony (France),,Mayotte,
Rabat,1649,Monarchy,Arabic Shluh Tamazight Riffian French,Morocco,Maghreb
Maputo,,Republic,Makua Tsonga Portuguese,Mozambique,
Windhoek,1989,Republic,Ambo English Afrikaans German many others,Namibia,South West Africa
Niamey,1922,Republic,Hausa DjermaFulani French,Niger,
Abuja,,Republic,Hausa Yoruba Ibo Fulani Kanuri Efik English many others,Nigeria,
Saint-Denis,,Colony (France),French,Reunion,
Kigali,1915,One Party State,Ruanda French Swahili,Rwanda,
Sao Tome,,Republic,Portuguese,Sao Tome & Principe,
Dakar,1959,Republic,Wolof French Fulani,Senegal,
Victoria,,Republic,French English,Seychelles,
Freetown,1787,Republic,Mende Temne English,Sierra Leone,
Mogadishu,1886,No effective government,Somali,Somalia,Somaliland
Pretoria,1910,Republic,English Afrikaans Xhosa Zulu Tswana Sotho Pedi Swazi many others,South Africa,
Khartoum,1899,No effective government,Arabic Nubian Beja Dinka,Sudan,
Mbabana,1968,Monarchy,Swazi English,Swaziland,
Dar es Salaam,1961,,Swahili English many others,Tanzania,Tanganyka
Lome,1884,One Party State,Ewe French,Togo,Togoland
Tunis,1881,,Arabic French,Tunisia,Carthage Maghreb
Kampala,1961,,Luganda English many others,Uganda,
Lusaka,1888,One Party State,Bemba English,Zambia,Northern Rhodesia
Harare,1890,One Party State,Shona Matebele English,Zimbabwe,Rhodesia Southern Rhodesia
