City,City population,Country,Mayor,Metro population,World rank
Aachen,"259,000",Germany,Marcel Philipp,"1,240,000",n/r
Abidjan,"3,800,000",Ivory Coast,Pierre Dj�dji Amondji,"4,000,000",56
ABU DHABI,"897,000",UAE,Khalifa bin Zayed Al Nahyan,,451
ABUJA,"779,000",Nigeria,Muhammad Adamu Aliero,"900,000",509
Acapulco,"718,000",Mexico,Manuel A�orve Bola�os,"880,000",529
ACCRA,"1,605,000",Ghana,Alfred Vanderpuije,"2,756,000",192
Ad-Dammam,"813,000",Saudi Arabia,Dhaifallah al-'Utaybi,"2,051,000",484
Adana,"1,162,000",Turkey,Ayta� Durak,"1,556,000",340
ADDIS ABABA,"3,385,000",Ethiopia,Kuma Demeksa,"4,568,000",70
Adelaide,"1,290,000",Australia,Stephen Yarwood,,296
Agra,"1,650,000",India,Anjula Singh Mahaur,"1,800,000",184
Aguascalientes,"664,000",Mexico,Gabriel Arellano Espinoza,"701,000",558
Ahmadabad,"4,525,000",India,Kanaji Thakor,"6,168,000",45
Ahwaz,"1,338,000",Iran,Saeed Mombeini,"1,500,000",282
Al-Hufuf,"286,000",Saudi Arabia,n/k,"784,000",n/r
Albany,"96,000",USA,Gerald Jennings,"1,100,000",n/r
Aleppo,"2,360,000",Syria,Ma'an Al-Shibli,"3,000,000",120
Alexandria,"4,110,000",Egypt,Adel Labib,"4,350,000",52
ALGIERS,"1,520,000",Algeria,Tayeb Zitouni,"3,354,000",211
Aligarh,"680,000",India,n/k,"1,116,000",549
Allahabad,"1,215,000",India,Jitendr Nath Singh,"1,250,000",320
ALMATY,"1,420,000",Kazakhstan,Akhmetzhan Yesimov,"1,500,000",244
AMMAN,"1,919,000",Jordan,Omar Maani,"2,524,000",146
Amravati,"678,000",India,n/k,"1,031,000",552
Amritsar,"1,195,000",India,Shawet Malik,"1,300,000",329
AMSTERDAM,"762,000",Netherlands,Eberhard van der Laan,"1,536,000",515
Ankang,"743,000",China,n/k,,521
ANKARA,"3,764,000",Turkey,Melih G�k�ek,"4,000,000",57
Anqiu,"1,200,000",China,n/k,,322
Anshan,"1,290,000",China,n/k,"2,404,000",297
ANTANANARIVO,"903,000",Madagascar,n/k,"1,403,000",447
Antwerp,"444,000",Belgium,Patrick Janssens,"948,000",n/r
Anyang,"1,450,000",China,Zhang Xiaodong,"3,000,000",233
Arequipa,"905,000",Peru,Sim�n Balbuena Marroqu�n,,443
ASMARA,"392,000",Eritrea,n/k,"881,000",n/r
ASTANA,"803,000",Kazakhstan,Imangali Tasmagambetov,,496
ASUNCION,"546,000",Paraguay,Evangelista Troche de Gallegos,"1,433,000",592
ATHENS,"757,000",Greece,Giorgos Kaminis,"3,216,000",518
Atlanta,"538,000",USA,Kasim Reed,"3,500,000",598
Auckland,"428,000",New Zealand,Len Brown,"1,333,000",n/r
Augsburg,"263,000",Germany,Kurt Gribl,,n/r
Aurangabad,"1,168,000",India,Vijaya Rahatkar,,339
Austin,"681,000",USA,Lee Leffingwell,"1,185,000",548
Baghdad,"6,050,000",Iraq,Sabir al-Issawi,"6,500,000",32
BAKU,"2,040,000",Azerbaijan,Hajibala Abutalybov,"2,072,000",138
Baltimore,"667,000",USA,Stephanie C. Rawlings-Blake,"2,670,000",556
BAMAKO,"1,809,000",Mali,Adama B. Sangar�,,158
Bandar Lampung,"743,000",Indonesia,n/k,"1,123,000",522
Bandung,"2,510,000",Indonesia,Dada Rosada,"3,829,000",106
Bangalore,"5,840,000",India,SK Nataraj,"6,562,000",33
BANGKOK,"9,100,000",Thailand,Sukhumbhand Paribatra,"11,970,000",13
BANGUI,"652,000",Central African Republic,n/k,"789,000",560
Baoding,"997,000",China,n/k,,413
Baoshan,"2,500,000",China,Xiong Qinghua,,109
Baotou,"1,318,000",China,Hu Ercha,"1,750,000",287
Barcelona,"1,673,000",Spain,Jordi Hereu,"3,890,000",182
Barquisimeto,"1,500,000",Venezuela,Amalia Saez,"1,500,000",214
Barranquilla,"1,298,000",Colombia,Alejandro Char Chaljub,"1,871,000",294
Basrah,"1,760,000",Iraq,Jabbar Jaber Al-Latif,"3,800,000",168
Bazhong,"1,186,000",China,n/k,,331
BEIJING,"12,460,000",China,Guo Jinlong,"17,550,000",4
Beiliu,"1,050,000",China,n/k,,390
BEIRUT,"1,250,000",Lebanon,Abdel Mounim Ariss,"2,600,000",309
Belem,"1,409,000",Brazil,Duciomar Costa,"1,913,000",251
BELGRADE,"1,182,000",Yugoslavia,Dragan Dillas,"1,630,000",335
Belo Horizonte,"2,453,000",Brazil,Marcio Lacerda,"5,397,000",114
Bengbu,"809,000",China,Chen Qitao,"3,470,000",490
Benghazi,"1,471,000",Libya,n/k,"1,500,000",226
Benin,"1,051,000",Nigeria,n/k,"1,052,000",389
Benxi,"830,000",China,Gang Rui,"1,567,000",473
BERLIN,"3,432,000",Germany,Klaus Wowereit,"3,943,000",68
Bhilai,"564,000",India,n/k,"942,000",583
Bhopal,"1,458,000",India,Krishna Gaur,"1,600,000",231
Bhubaneswar,"659,000",India,n/k,"1,455,000",559
Bielefeld,"324,000",Germany,Peter Clausen,"1,420,000",n/r
Bijie,"1,130,000",China,n/k,"7,188,000",353
Bilbao,"351,000",Spain,I�zki Azkuna,"879,000",n/r
Birmingham,"1,017,000",UK,Mike Whitby,"2,284,000",401
Birmingham,"245,000",USA,William A. Bell,"1,200,000",n/r
BISHKEK,"765,000",Kyrgyzstan,Nariman Tuleyev,"800,000",513
Bogor,"866,000",Indonesia,Diani Budiarto,,460
BOGOTA,"7,320,000",Colombia,Samuel Moreno Rojas,"8,361,000",25
Bordeaux,"250,000",France,Alain Jupp�,"1,010,000",n/r
Boston,"621,000",USA,Thomas Menino,"4,033,000",566
Bouakt,"531,000",Ivory Coast,n/k,"775,000",n/r
Bozhou,"1,352,000",China,Liu Jian,,275
BRASILIA,"2,089,000",Brazil,Jos� Roberto Arruda,"2,090,000",134
BRATISLAVA,"431,000",Slovak Republic,Milan Ft�cnik,"550,000",n/r
Braunschweig,"246,000",Germany,Gert Hoffmann,,n/r
BRAZZAVILLE,"1,133,000",Congo Br,n/k,"1,134,000",352
Bremen,"547,000",Germany,Jens B�hrnsen,"1,009,000",590
Brisbane,"1,544,000",Australia,Campbell Newman,"1,544,000",204
Bruges,"117,000",Belgium,Patrick Moenaert,,n/r
BRUSSELS,"958,000",Belgium,Freddy Thielemans,"1,740,000",427
Bucaramanga,"542,000",Colombia,n/k,"956,000",595
BUCHAREST,"1,994,000",Romania,Sorin Oprescu,"2,151,000",140
Bucheon,"850,000",South Korea,n/k,"850,000",465
BUDAPEST,"1,712,000",Hungary,Istv�n Tarl�s,"2,503,000",175
BUENOS AIRES,"11,655,000",Argentina,Mauricio Macri,"12,924,000",6
Buffalo,"296,000",USA,Byron Brown,"1,572,000",n/r
Bulawayo,"676,000",Zimbabwe,Thaba Moyo,"676,000",553
Bursa,"1,400,000",Turkey,Recep Altepe,"3,190,000",253
Busan,"3,600,000",South Korea,Hur Nam-sik,"4,292,000",63
CAIRO,"7,764,000",Egypt,Abdul Azim Wazir,"15,546,000",21
Calgary,"988,000",Canada,Naheed Nenshi,"1,080,000",416
Cali,"2,525,000",Colombia,Jorge Ivan Ospina,"2,801,000",104
Caloocan,"1,379,000",Philippines,Enrico Echiverri,,267
Campinas,"1,059,000",Brazil,H�lio de Oliveira Santos,"3,200,000",386
Cape Town,"3,497,000",South Africa,Patricia de Lille,"7,280,000",66
CARACAS,"2,762,000",Venezuela,Antonio Ledezma,"3,478,000",87
Cartagena,"893,000",Colombia,Judith Pinedo,"1,240,000",452
Casablanca,"3,673,000",Morocco,Mohammed Sajid,"3,850,000",58
Catania,"337,000",Italy,n/k,"831,000",n/r
Cebu City,"747,000",Philippines,Tomas R Osmena,"1,198,000",520
Chandigarh,"901,000",India,n/k,,449
Changchun,"3,581,000",China,Cui Jie,"7,460,000",65
Changde,"1,400,000",China,Chen Wenhao,"6,000,000",254
Changsha,"2,744,000",China,Zhang Jiangfei,"6,140,000",89
Changshu,"1,048,000",China,Wang Xiang,,392
Changweon,"486,000",South Korea,n/k,"1,254,000",n/r
Changzhou,"2,086,000",China,Wang Weicheng,"3,570,000",136
Chaoyang,"2,471,000",China,Zhang Tiemin,,113
Charlotte,"559,000",USA,Anthony Foxx,"1,466,000",585
Chelyabinsk,"1,092,000",Russia,Mikhail Yurevich,"1,200,000",371
Chemnitz,"243,000",Germany,Barbara Ludwig,"1,082,000",n/r
Chengdu,"4,334,000",China,Ge Honglin,"11,000,000",49
Chennai,"4,600,000",India,M Subramaniam,"7,330,000",44
Chiba,"962,000",Japan,Toshihito Kumagai,"970,000",424
Chicago,"2,853,000",USA,Rahm Emanuel,"8,770,000",82
Chihuahua,"694,000",Mexico,n/k,"825,000",540
CHISINAU,"785,000",Moldova,Dorin Chirtoaca,"911,000",504
Chittagong,"2,580,000",Bangladesh,Mohammed Manjur Alam,"3,858,000",100
Chongqing,"5,087,000",China,Huang Qifan,"9,700,000",38
Cincinnati,"380,000",USA,Mark L. Mallory,"2,155,000",n/r
Cirebon,"319,000",Indonesia,n/k,"926,000",n/r
Ciudad Guayana,"940,000",Venezuela,Jos� Ram�n Lop�z,"1,000,000",431
Ciudad Juarez,"1,400,000",Mexico,Jos� Reyes Ferriz,"2,010,000",255
Cixi,"1,220,000",China,n/k,,319
Cleveland,"434,000",USA,Frank G. Jackson,"2,250,000",n/r
Cochabamba,"608,000",Bolivia,n/k,"798,000",568
Coimbatore,"931,000",India,R.Venkatachalam,"1,446,000",433
Cologne,"995,000",Germany,J�rgen Roters,"11,297,000",414
Colombo,"247,000",Brazil,Jos� Antonio Camargo,"2,160,000",n/r
COLOMBO,"650,000",Sri Lanka,Uvais Mohamed Imitiyas,"2,400,000",561
Columbus,"714,000",USA,Michael B Coleman,"1,540,000",531
CONAKRY,"1,931,000",Guinea,Mamadou Wasco Camara,,145
Concepci�n,"404,000",Chile,Jacqueline van Rysselberghe,"978,000",n/r
COPENHAGEN,"1,096,000",Denmark,Frank Jensen,"1,096,000",369
Cordoba,"1,310,000",Argentina,Daniel Giacomino,"1,528,000",288
Culiacan,"567,000",Mexico,n/k,"766,000",582
Curitiba,"1,851,000",Brazil,Carlos Richa,"3,261,000",153
Daegu,"2,512,000",South Korea,Kim Bum-il,,105
Daejeon,"1,443,000",South Korea,Yum Hong-chul,,239
DAKAR,"1,031,000",Senegal,Khalifa Sall,"2,253,000",397
Dalian,"2,270,000",China,Li Wancai,"3,478,000",124
Dallas,"1,280,000",USA,Tom Leppert,"6,300,000",302
DAMASCUS,"1,670,000",Syria,Bishr Al Sabban,"4,350,000",183
Dammam,"812,000",Saudi Arabia,Dhaifallah al-'Utaybi,"2,000,000",485
Danyang,"890,000",China,n/k,,454
Daqing,"800,000",China,n/k,"2,770,000",499
DAR ES SALAAM,"2,498,000",Tanzania,Adam Kimbisa,"2,700,000",110
Datong,"1,253,000",China,n/k,"1,377,000",308
Davao City,"1,363,000",Philippines,Inday Sara Duterte-Carpio,,272
Daye,"874,000",China,n/k,,459
Dayton,"167,000",USA,n/k,"848,000",n/r
DELHI,"12,100,000",India,Kanwar Sain,"16,713,000",5
Denpasar,"491,000",Indonesia,n/k,"934,000",n/r
Denver,"583,000",USA,John W Hickenlooper,"2,746,000",576
Detroit,"912,000",USA,Dave Bing,"3,903,000",441
DHAKA,"7,940,000",Bangladesh,Sadeque Hossain Khosa,"12,797,000",19
Dhanbad,"1,065,000",India,n/k,"1,200,000",383
Dnipropetrovsk,"1,040,000",Ukraine,Ivan Ivanovych Kulichenko,"1,480,000",394
Donetsk,"1,100,000",Ukraine,Oleksandr Lukianchenko,"1,570,000",366
Dongguan,"6,446,000",China,Li Yuquan,"7,650,000",29
Dongtai,"1,170,000",China,n/k,,337
Dongying,"294,000",China,n/k,"804,000",n/r
Dortmund,"584,000",Germany,Ullrich Sierau,,573
Douala,"1,382,000",Cameroon,n/k,"2,000,000",263
Dresden,"512,000",Germany,Helma Orosz,"1,030,000",n/r
Dubai,"1,089,000",UAE,n/k,"2,100,000",374
Dublin,"506,000",Ireland,Emer Costello,"1,661,000",n/r
Duisburg,"494,000",Germany,Adolf Sauerland,,n/r
Duque de Caxias,"864,000",Brazil,Jos� Camilo Zito dos Santos Filho,"1,000,000",462
Durban,"670,000",South Africa,Obed Mlama,"3,468,000",554
Durg,"2,810,000",India,Dr Shiv Kumar Tamer,,85
DUSHANBE,"680,000",Tajikistan,Mahmadsaid Ubaydulloyev,"810,000",550
,,,,,
