Entfernung,Gipfel,Grad,H�he,Kanton
39.33 km,Cima della Valletta Mottone della Tappa,181.3,2130,TI/I
38.77 km,Motto di Lev�n,181.5,2023,TI
39.95 km,Monte Stabbiello,181.8,2116,TI/I
37.34 km,Scrigno di Poltrinone,181.9,1956,TI
41.94 km,Prato della Basci�ta,184.0,2076,TI/I
40.66 km,Monte Segor,184.1,2097,TI/I
41.09 km,Gazzirola,184.7,2116,TI/I
39.27 km,Camogh�,185.9,2228,TI
62.23 km,Monte Generoso,186.5,1701,TI
39.00 km,Cima Calescio,187.5,2034,TI
19.03 km,Forcel,189.0,2578,GR
15.44 km,Motton,190.1,2739,GR/TI
19.58 km,Mottone,190.8,2692,GR/TI
8.43 km,Pizzo Pianaccio,191.7,2832,GR/TI
15.59 km,Piz da Termin,191.8,2899,GR/TI
9.81 km,Pizzo del Ramulazz,193.0,2914,GR/TI
7.82 km,Filo di Revi,193.9,2791,GR/TI
10.21 km,Filo di Remia,194.0,2939,GR/TI
16.33 km,Torent Alto Torrone Alto,194.1,2952,GR/TI
7.41 km,Filo di Bug�la,197.1,2838,GR/TI
