City,City population,Country,Mayor,Metro population,World rank
ANTANANARIVO,"903,000",Madagascar,n/k,"1,403,000",447
LILONGWE,"866,000",Malawi,n/k,,461
KUALA LUMPUR,"1,810,000",Malaysia,Dato Ahmed Fuad Ismail,"5,470,000",157
BAMAKO,"1,809,000",Mali,Adama B. Sangar�,,158
MEXICO CITY,"8,841,000",Mexico,Marcelo Ebrard,"21,163,000",14
Monterrey,"2,057,000",Mexico,Fernando Larrazabal,"3,650,000",137
Puebla,"1,888,000",Mexico,Blanca Alcala Ruiz,"2,500,000",150
Ecatepec,"1,688,000",Mexico,Eruviel �vila Villegas,"1,690,000",178
Guadalajara,"1,580,000",Mexico,Jorge Aristoteles Sandoval,"3,600,000",198
Tijuana,"1,484,000",Mexico,Carlos Bustamante,"1,500,000",222
Ciudad Juarez,"1,400,000",Mexico,Jos� Reyes Ferriz,"2,010,000",255
Zapopan,"1,155,000",Mexico,Hector Vielma Ordo�ez,"1,200,000",345
Nezahualcoyotl,"1,141,000",Mexico,Edgar Ces�reo Navarro S�nchez,"1,150,000",346
Leon,"1,138,000",Mexico,Ricardo Sheffield,"1,635,000",349
Torreon,"1,001,000",Mexico,Eduardo Olmos Castro,,410
Mexicali,"1,000,000",Mexico,n/k,"1,000,000",411
Naucalpan,"822,000",Mexico,Azucena Olivares Villag�mez,"835,000",478
Santiago de Queretaro,"805,000",Mexico,Francisco Dom�nguez Servien,"1,085,000",494
Toluca,"785,000",Mexico,Maria Elena Barrera Tapia,"1,650,000",505
Merida,"734,000",Mexico,C�sar Boj�rquez Zapata,"890,000",525
Acapulco,"718,000",Mexico,Manuel A�orve Bola�os,"880,000",529
Chihuahua,"694,000",Mexico,n/k,"825,000",540
San Luis Potosi,"685,000",Mexico,Jorge Lozano Armengol,"957,000",544
Tlalnepantla de Baz,"685,000",Mexico,Arturo Ugalde Meneses,"800,000",545
Aguascalientes,"664,000",Mexico,Gabriel Arellano Espinoza,"701,000",558
Culiacan,"567,000",Mexico,n/k,"766,000",582
Matamoros,"370,000",Mexico,n/k,"780,000",n/r
Tampico,"319,000",Mexico,n/k,"775,000",n/r
CHISINAU,"785,000",Moldova,Dorin Chirtoaca,"911,000",504
ULAANBAATAR,"1,108,000",Mongolia,n/k,,364
Casablanca,"3,673,000",Morocco,Mohammed Sajid,"3,850,000",58
Marrakech,"1,071,000",Morocco,n/k,,380
Fes,"1,009,000",Morocco,n/k,,405
Safi,"933,000",Morocco,n/k,,432
Fez,"921,000",Morocco,n/k,"921,000",438
Sal�,"904,000",Morocco,n/k,,446
Tangier,"710,000",Morocco,n/k,,536
RABAT,"627,000",Morocco,Omar El Bahraoui,"1,790,000",564
MAPUTO,"1,244,000",Mozambique,David Simango,"1,640,000",313
Yangon,"4,468,000",Myanmar (Burma),Aung Thein Lynn,"5.500,000",47
Mandalay,"961,000",Myanmar (Burma),Phone Zaw Han,"1,300,000",425
KATHMANDU,"949,000",Nepal,n/k,"1,700,000",430
AMSTERDAM,"762,000",Netherlands,Eberhard van der Laan,"1,536,000",515
Rotterdam,"590,000",Netherlands,Ahmed Aboutaleb,"1,187,000",572
The Hague,"486,000",Netherlands,Van Aartsen,"1,011,000",n/r
Einhoven,"212,000",Netherlands,R van Gijzel,"440,000",n/r
Auckland,"428,000",New Zealand,Len Brown,"1,333,000",n/r
MANAGUA,"1,185,000",Nicaragua,Daisy Torres,"1,342,000",332
Lagos,"7,938,000",Nigeria,n/k,"9,123,000",20
Kano,"3,626,000",Nigeria,Ibrahim Shekarau,"3,900,000",62
Port Harcourt,"2,667,000",Nigeria,Azubuike Nmerukini,"3,761,000",94
Ibadan,"2,550,000",Nigeria,Adebayo Alao-Akala,"3,000,000",102
Kaduna,"1,460,000",Nigeria,Mohammed Namadi Sambo,"1,500,000",229
Maiduguri,"1,200,000",Nigeria,n/k,"1,200,000",324
Benin,"1,051,000",Nigeria,n/k,"1,052,000",389
Zaria,"898,000",Nigeria,n/k,,450
ABUJA,"779,000",Nigeria,Muhammad Adamu Aliero,"900,000",509
Ogbomosho,"726,000",Nigeria,n/k,"985,000",527
Onitsha,"509,000",Nigeria,n/k,"1,001,000",n/r
Oshogbo,"421,000",Nigeria,n/k,"1,309,000",n/r
PYONGYANG,"3,255,000",North Korea,n/k,"3,400,000",72
Hamhung,"821,000",North Korea,n/k,"821,000",479
OSLO,"584,000",Norway,Fabian Stang,"876,000",575
Masqat-Matrah,"776,000",Oman,n/k,"776,000",511
Karachi,"15,500,000",Pakistan,Fazlur Rehman,"18,000,000",1
Lahore,"6,100,000",Pakistan,Mian Amir Mahmood,"8,600,000",30
Faisalabad,"2,510,000",Pakistan,Rana Zahid Tauseef,"5,081,000",107
Rawalpindi,"1,558,000",Pakistan,Raja Hamid Nawaz,"2,548,000",202
Hyderabad,"1,447,000",Pakistan,Kanwar Naveed Jamil,"1,500,000",237
Multan,"1,424,000",Pakistan,Mian Faisal Mukhtar,"1,500,000",243
Gujranwala,"1,416,000",Pakistan,Fayyaz Ahmad Chattha,"1,900,000",249
Peshawar,"1,100,000",Pakistan,Muhammad Umar Khan,"3,100,000",367
Gaza,"410,000",Palestine,n/k,"1,000,000",n/r
PANAMA CITY,"850,000",Panama,Bosco Vallarino,"1,220,000",467
ASUNCION,"546,000",Paraguay,Evangelista Troche de Gallegos,"1,433,000",592
LIMA,"7,606,000",Peru,Susana Villaran,"8,473,000",22
Arequipa,"905,000",Peru,Sim�n Balbuena Marroqu�n,,443
MANILA METRO,"11,550,000",Philippines,Alfredo S Lim,"13,503,000",7
Quezon City,"2,680,000",Philippines,Herbert M Bautis,,92
Caloocan,"1,379,000",Philippines,Enrico Echiverri,,267
Davao City,"1,363,000",Philippines,Inday Sara Duterte-Carpio,,272
Cebu City,"747,000",Philippines,Tomas R Osmena,"1,198,000",520
WARSAW,"1,712,000",Poland,Hanna Gronkiewicz-Waltz,"3,350,000",176
Lodz,"783,000",Poland,Jerzy Kropiwickni,"1,429,000",506
Krakow,"755,000",Poland,Jacek Majchrowski,"1,250,000",519
Gdansk,"457,000",Poland,Pawel Adamowicz,"866,000",n/r
Katowice,"340,000",Poland,Piotr Uszok,"2,746,000",n/r
LISBON,"558,000",Portugal,Ant�nio Costa,"2,612,000",587
Porto,"263,000",Portugal,Rui Rio,"1,210,000",n/r
SAN JUAN,"442,000",Puerto Rico,Jorge A. Santini Padilla,"2,500,000",n/r
BUCHAREST,"1,994,000",Romania,Sorin Oprescu,"2,151,000",140
MOSCOW,"10,524,000",Russia,Sergei Sobyanin,"14,800,000",10
St Petersburg,"4,661,000",Russia,Valentina Matviyenko,"4,900,000",43
Novosibirsk,"1,396,000",Russia,Vladimir Gorodetsky,"1,429,000",258
Ekaterinburg,"1,323,000",Russia,Eugene Porunov,"1,389,000",286
Nizhniy Novgorod,"1,280,000",Russia,Vadim Bulavinov,"1,900,000",304
Samara,"1,160,000",Russia,Viktor Tarkhov,"1,500,000",344
Omsk,"1,137,000",Russia,Viktor Shreyder,"1,145,000",350
Kazan,"1,115,000",Russia,lsur Metshin,"1,300,000",359
Chelyabinsk,"1,092,000",Russia,Mikhail Yurevich,"1,200,000",371
Rostov on Don,"1,068,000",Russia,Mikhail Chernyshyov,"1,250,000",382
Ufa,"1,023,000",Russia,Pavel Kachkayev,"1,050,000",398
Volgograd,"1,012,000",Russia,Roman Grebennikov,"1,292,000",403
Perm,"1,010,000",Russia,Igor Shubin,"1,200,000",404
Krasnoyarsk,"920,000",Russia,Pyotr Pimashkov,"950,000",439
Voronezh,"849,000",Russia,Sergey Koliukh,"950,000",468
Saratov,"831,000",Russia,Vyacheslav Leonovich Somov,"1,100,000",472
Krasnodar,"710,000",Russia,Vladimir Yevlanov,"780,000",534
