Capital City,Country Name (Click For Destination Guides),Geographic Info (Click for info)
Macau,Macau,Geography of Macau
Skopje,"Macedonia, The Former Yugoslav Republic of","Geography of Macedonia, The Former Yugoslav Republic"
Antananarivo,Madagascar,Geography of Madagascar
Lilongwe,Malawi,Geography of Malawi
Kuala Lumpur,Malaysia,Geography of Malaysia
Male,Maldives,Geography of Maldives
Bamako,Mali,Geography of Mali
Valletta,Malta,Geography of Malta
Douglas,"Man, Isle of",Geography of Isle of Man
Majuro,Marshall Islands,Geography of Marshall Islands
Fort-de-France,Martinique,Geography of Martinique
Nouakchott,Mauritania,Geography of Mauritania
Port Louis,Mauritius,Geography of Mauritius
Mamoutzou,Mayotte,Geography of Mayotte
Mexico,Mexico,Geography of Mexico
Palikir,"Micronesia, Federated States of",Geography of Federated States of Micronesia
"none; administered from Washington, DC",Midway Islands,Geography of Midway Islands
Chisinau,Moldova,Geography of Moldova
Monaco,Monaco,Geography of Monaco
Ulaanbaatar,Mongolia,Geography of Mongolia
Podgorica,Montenegro,Geography of Montenegro
Plymouth,Montserrat,Geography of Montserrat
Rabat,Morocco,Geography of Morocco
Maputo,Mozambique,Geography of Mozambique
Rangoon (regime refers to the capital as Yangon),Myanmar (Burma),Geography of Myanmar (Burma)
