Developer(s),Game,Genre,Platform(s),Year
Rockstar San Diego,Red Dead Redemption,Open World: (Third-Person) Shooter,"PlayStation 3, Xbox 360",2010
Naughty Dog,Uncharted 2: Among Thieves,"Action-adventure, Third-person shooter",PlayStation 3,2009
Rockstar North,Grand Theft Auto IV,"Open World, Action","Windows, PlayStation 3, Xbox 360",2008
2K Boston/2K Australia,BioShock,Shooter,"Windows , Xbox 360, Mac OS X, PlayStation 3",2007
Nintendo,The Legend of Zelda: Twilight Princess,Action-adventure,"Wii, Nintendo GameCube",2006
Capcom,Resident Evil 4,Survival Horror: (Third-Person) Shooter,"GameCube, PlayStation 2, Windows, Wii",2005
Bungie,Halo 2,Shooter,"Xbox, Windows,",2004
Ubisoft Montreal,Prince of Persia: Sands of Time,Action-adventure,"Xbox, GameCube, PlayStation 2, Windows",2003
Nintendo,Metroid Prime,Action-adventure,Nintendo GameCube,2002
Bungie,Halo Combat Evolved,Shooter,"Xbox, Windows, Macintosh",2001
Activision,Tony Hawk's Pro Skater 2,Sports,"PC, Nintendo 64, PlayStation, Dreamcast",2000
Namco,Soul Calibur,Fighting,Sega Dreamcast,1999
Nintendo,The Legend of Zelda: Ocarina of Time,Action-adventure,Nintendo 64,1998
Rare,Goldeneye 007,Shooter,Nintendo 64,1997
Nintendo,Super Mario 64,Action-platformer,Nintendo 64,1996
SingleTrac,Twisted Metal,Action-driving game,PlayStation,1995
Rare,Donkey Kong Country,Action-platformer,Super Nintendo,1994
SNK,Samurai Shodown,Fighting,Neo-Geo MVS,1993
Capcom,Street Fighter II,Fighting,Super Nintendo,1992
Sega,Sonic the Hedgehog,Action-platformer,Sega Genesis,1991
Capcom,Strider,Action-adventure,Sega Genesis,1990
Capcom,Ghouls 'n Ghosts,Action-adventure,Sega Genesis,1989
